StockCode,Market Cap (intraday)5:,Enterprise Value,Price/Sales (ttm):,Price/Book (mrq):,Enterprise Value/Revenue (ttm)3:,Enterprise Value/EBITDA (ttm)6:,Profit Margin (ttm):,Operating Margin (ttm):,Return on Assets (ttm):,Return on Equity (ttm):,Revenue (ttm):,Revenue Per Share (ttm):,Qtrly Revenue Growth (yoy):,Gross Profit (ttm):,EBITDA (ttm)6:,Net Income Avl to Common (ttm):,Diluted EPS (ttm):,Total Cash (mrq):,Total Cash Per Share (mrq):,Total Debt (mrq):,Total Debt/Equity (mrq):,Current Ratio (mrq):,Book Value Per Share (mrq):,Operating Cash Flow (ttm):,Levered Free Cash Flow (ttm):,52-Week Change3:,52-Week High (17/01/2017)3:,52-Week Low (08/12/2016)3:,50-Day Moving Average3:,200-Day Moving Average3:,Avg Vol (3 month)3:,Avg Vol (10 day)3:,Shares Outstanding5:,Float:
SVW,7601619456.0,10907147264.0,1.6730388,2.6581225,2.401,15.725,0.02549,0.11148,0.044120003,0.041139998,4543600128.0,13.403,0.062,771200000.0,693600000.0,115800000.0,0.34,119800000.0,0.354,3429299968.0,119.613,1.963,8.427,539600000.0,153973504.0,0.14285707,24.25,8.92,23.104376,20.336187,414195.0,378681.0,339358016.0,129737894.0
SXE,148830000.0,99263688.0,0.35853666,0.93750006,0.239,5.135,0.02619,0.039330002,0.039890002,0.07103,415104000.0,1.702,-0.095,44525000.0,19331000.0,10870000.0,0.045,55272000.0,0.223,5967000.0,3.768,1.895,0.64,10109000.0,1998375.0,0.0,0.66,0.335,0.56709677,0.48413044,574426.0,284810.0,248050000.0,180258390.0
TCL,36231921664.0,56658399232.0,10.01989,4.5988193,15.669,30.978,-0.0307,0.18335,0.01143,-0.01636,3616000000.0,1.327,-0.271,1637000000.0,1828999936.0,-111000000.0,-0.041,2420000000.0,0.885,21940000768.0,249.29,0.736,2.879,1131000064.0,-1265500032.0,-0.15989852,16.44,9.1,13.496667,13.909,5089424.0,4136773.0,2736549888.0,2729119750.0
THC,41680540.0,32799184.0,6.7895446,1.375,5.343,-3.279,-1.87601,-1.81415,-0.20156,-0.43495998,6138930.0,0.044,0.63,967090.0,-10003610.0,-11516710.0,-0.083,9039348.0,0.054,4871532.0,18.159,6.121,0.16,-8659898.0,-5144094.0,-0.4054054,0.445,0.18,0.24403226,0.24811594,714899.0,417175.0,189456992.0,141761723.0
TPP,25747086.0,21943120.0,0.4723456,2.8400002,0.403,16.523,0.00141,0.00798,0.01584,0.011670001,54509000.0,0.184,0.092,42561000.0,1328000.0,77000.0,0.0,6598000.0,0.018,2794000.0,30.552,2.127,0.025,2425000.0,1843625.0,0.2678572,0.079,0.027,0.06551613,0.058413044,94738.0,247929.0,362636000.0,189089032.0
TTI,17360098.0,26487090.0,0.38992178,2.3999999,0.595,-71.394,-0.31410998,-0.01963,-0.0139,-0.98841006,44522000.0,0.092,-0.029,18916000.0,-371000.0,-13985000.0,-0.029,3636000.0,0.008,12763000.0,178.804,1.0,0.015,5252000.0,3816625.0,1.7692306,0.048,0.006,0.038548388,0.03481884,955818.0,2554772.0,482224992.0,290135310.0
VEE,100100000.0,119523752.0,2.2561269,3.08,2.694,28.203,0.05568,0.058119997,0.027590001,0.07783,44368072.0,0.341,-0.046,26138644.0,4238029.0,2470261.0,0.019,3618166.0,0.028,23041920.0,70.761,2.451,0.25,5962725.0,1242610.0,0.57142854,0.885,0.37,0.7729032,0.59097826,37609.0,11790.0,130000000.0,48500400.0
VRS,31627596.0,59253600.0,0.33608836,26.0,0.63,-24.097,-0.28152,-0.12853,-0.10982,-1.63739,94105000.0,0.249,-0.187,1860000.0,-2459000.0,-23210000.0,-0.07,1939000.0,0.005,29583000.0,2355.334,0.701,0.003,5903000.0,5122625.0,0.14705873,0.088,0.018,0.08054839,0.053492755,323103.0,213411.0,405481984.0,137550391.0
XTE,31634486.0,42583624.0,0.7405897,2.1875,0.997,2661.976,0.00709,-0.0089,-0.00723,0.027320001,42715268.0,0.832,-0.094,8629881.0,15997.0,302678.0,0.006,3057031.0,0.043,3610254.0,24.964,1.549,0.272,-4545369.0,-5773079.0,0.04385972,0.91,0.385,0.5727419,0.62938404,129547.0,41070.0,70639296.0,39534714.0
YPB,12685080.0,7399108.0,14.497234,1.5,8.456,-1.596,0.0,-5.39771,-0.34233,-1.5325999,875000.0,0.001,-0.409,943000.0,-4636000.0,-6112000.0,-0.006,526000.0,0.0,2806000.0,85.497,0.244,0.002,-4420000.0,-2448750.0,0.0,0.008,0.001,0.0025806453,0.003365942,24172375.0,22441454.0,4228359936.0,1192052589.0
