StockCode,Market Cap (intraday)5:,Enterprise Value,Price/Sales (ttm):,Price/Book (mrq):,Enterprise Value/Revenue (ttm)3:,Enterprise Value/EBITDA (ttm)6:,Profit Margin (ttm):,Operating Margin (ttm):,Return on Assets (ttm):,Return on Equity (ttm):,Revenue (ttm):,Revenue Per Share (ttm):,Qtrly Revenue Growth (yoy):,Gross Profit (ttm):,EBITDA (ttm)6:,Net Income Avl to Common (ttm):,Diluted EPS (ttm):,Total Cash (mrq):,Total Cash Per Share (mrq):,Total Debt (mrq):,Total Debt/Equity (mrq):,Current Ratio (mrq):,Book Value Per Share (mrq):,Operating Cash Flow (ttm):,Levered Free Cash Flow (ttm):,52-Week Change3:,52-Week High (17/01/2017)3:,52-Week Low (08/12/2016)3:,50-Day Moving Average3:,200-Day Moving Average3:,Avg Vol (3 month)3:,Avg Vol (10 day)3:,Shares Outstanding5:,Float:
KEY,7871720,7260193.0,10.255952,1.3333334,9.459,-66.366,-0.19012,-0.17614001,-0.01432,-0.03276,767527.0,0.0,6.148,767527.0,-109396.0,-145922.0,0.0,642193.0,0.0,30674.0,0.615,1.133,0.003,-1047166.0,87182.0,-0.19999993,0.01,0.002,0.004612903,0.004844203,5089945,5290258,1967929984.0,1020075544.0
LNG,24796682,31394108.0,-35.3733,1.34375,-44.785,-1.021,0.0,44.031384,-0.45766997,-0.94982004,-701000.0,-0.001,-0.758,-16941000.0,-30748500.0,-30518000.0,-0.053,7705000.0,0.013,14441000.0,78.904,2.925,0.032,-28563000.0,-14737000.0,-0.71333337,0.16,0.039,0.043,0.043,0,0,576667008.0,433112695.0
MCM,23163000,37822220.0,1.3502187,0.2124646,2.205,-5.217,-0.7023,-0.60495,-0.04201,-0.105500005,17155000.0,0.122,-0.483,-1114000.0,-7250000.0,-12048000.0,-0.085,2678000.0,0.019,19965000.0,20.178,0.245,0.706,-4937000.0,-6298875.0,-0.6774193,0.465,0.088,0.16983871,0.13476811,15933,15033,154420000.0,55188030.0
MEY,28639942,19073426.0,1289.6228,5.185185,858.854,-11.662,0.0,-73.853424,-0.39745,-0.74914,22208.0,0.0,-1.0,22208.0,-1635549.0,-1658605.0,-0.016,1062967.0,0.007,65238.0,1.662,3.191,0.027,-1452084.0,-828775.0,1.2950819,0.19,0.025,0.14354838,0.09873913,1007083,570947,204571008.0,100655412.0
MMR,2737804,2891341.0,1115.1951,0.33333334,1177.736,-3.969,0.0,-297.00327,-0.04394,-0.13485,2455.0,0.0,-0.99,2455.0,-728533.0,-1213285.0,-0.004,440274.0,0.001,593796.0,7.14,0.581,0.012,-651428.0,-493540.0,0.0,0.004,0.004,0.004,0.004,0,0,684454976.0,482321697.0
NGY,28138240,31175660.0,119229.83,1.2666667,132100.25,-15.798,0.0,-8506.339,-0.03392,-0.099750005,236.0,0.0,-0.998,236.0,-1973454.0,-2282027.0,-0.002,337500.0,0.0,3272270.0,14.826,0.032,0.015,-243772.0,-279600.0,0.055555582,0.039,0.005,0.014451613,0.011775362,394425,478325,1480960000.0,330993554.0
NWE,28406822,25514710.0,99.87597,6.0,89.708,-15.462,0.0,-30.052061,-0.96672,-1.6491001,284421.0,0.0,-0.222,284421.0,-1650127.0,-7846201.0,-0.002,3054835.0,0.001,162742.0,5.204,19.191,0.001,-916554.0,1020152.0,0.20000005,0.01,0.002,0.0060645165,0.004206522,14610982,31459111,4734470144.0,2797359871.0
OEL,47950100,50118096.0,2.082252,1.1111112,2.176,34.094,-0.058969997,-0.22586,-0.057690002,-0.03319,23028000.0,0.008,-0.354,12726000.0,1470000.0,-1358000.0,0.0,16551000.0,0.003,18719000.0,41.923,2.573,0.009,-721000.0,-22104932.0,-0.6059113,0.027125,0.003,0.010016128,0.009217391,6889440,5507239,4795010048.0,2066553312.0
ORG,8348134912,13745910784.0,0.6319557,0.6571468,1.041,40.429,0.0062800003,0.00356,0.00116,0.0066500003,13210000384.0,7.507,-0.087,2448000000.0,340000000.0,83000000.0,0.047,1706000000.0,0.97,7097999872.0,55.885,1.006,7.213,951000000.0,63875000.0,-0.40075856,8.23,3.75,4.9625,4.9859715,5965726,6187882,1761209984.0,1751933047.0
OSH,8062057984,10793249792.0,5.6242104,1.4338506,7.53,12.827,-0.08071,0.32084998,0.02466,-0.02142,1433456000.0,0.868,-0.195,751038000.0,841432000.0,-115690000.0,-0.07,831438976.0,0.4,3562628096.0,63.354,1.011,2.706,650534016.0,-768498112.0,-0.422619,6.86,1.855,3.968788,3.3130715,9224638,5819624,2077849984.0,1865348877.0
PEN,116135752,102032800.0,19.107561,1.6883116,16.787,-34.125,-1.25683,-0.56005,-0.02789,-0.14309,6078000.0,0.021,0.544,120000.0,-2990000.0,-7733000.0,-0.027,11935000.0,0.014,615000.0,0.92,6.522,0.077,-8029000.0,-4398750.0,-0.16129035,0.22,0.056,0.12741935,0.08257971,7376180,6811733,893352000.0,825491590.0
RLE,34683120,27247530.0,1284.56,0.9195402,1009.168,23.111,0.0,-38.2963,-0.01905,-0.10012999,27000.0,0.0,-0.731,27000.0,1179000.0,-3246000.0,-0.009,1616000.0,0.005,608000.0,1.971,1.826,0.087,-991000.0,-71250.0,2.3333333,0.096,0.01,0.04333871,0.027416667,4462721,13995094,433539008.0,251573116.0
SMR,216324816,197372192.0,0.5935082,1.2841091,0.542,2.44,0.09573,0.14813,0.11186,0.21427,364484992.0,1.375,-0.357,96971000.0,80884000.0,34893000.0,0.132,32244000.0,0.119,13292000.0,7.885,2.519,0.623,6442000.0,-63064500.0,-0.13513511,1.02,0.5,0.8101613,0.72007245,59277,36953,270406016.0,11394877.0
