,StockCode
533,BUD
534,BVS
535,CAG
536,CAT
537,CCA
538,CCG
539,CDA
540,CGL
541,CGO
542,CIO
543,CL1
544,CLI
545,CM8
546,CNW
547,CPU
548,CT1
549,CV1
550,CWZ
551,DDR
552,DRO
553,DTC
554,DTL
555,DUB
556,DVL
557,DWS
558,DXN
559,ELO
560,ELS
561,EML
562,EOL
563,EPD
564,EVS
565,FCT
566,FZO
567,GSW
568,HRL
569,HSC
570,HSN
571,HTG
572,HWH
573,HYD
574,ICE
575,ID8
576,IFM
577,IHR
578,IOD
579,IP1
580,IRE
581,IRI
582,ISD
583,ISX
584,IXU
585,JAN
586,JCS
587,K2F
588,KNO
589,KYK
590,INP
591,LME
592,LNK
593,LNU
594,LVT
595,MOB
596,MOQ
597,MP1
598,PPH
599,PRO
600,NUH
601,NVU
602,NXT
603,OCL
604,OIL
605,OLL
606,OPY
607,PVS
608,PYG
609,QFY
610,RCL
611,RCW
612,RD1
613,RDY
614,RHP
615,RKN
616,RUL
617,RVS
618,RXP
619,SAS
620,SBW
621,SE1
622,SEN
623,SKF
624,SLX
625,SMN
626,SMX
627,SNS
628,SPT
629,SPZ
630,TCN
631,TDY
632,TNE
633,TNT
634,TYR
635,UBN
636,VOR
637,VR1
638,WHK
639,WSP
640,WTC
641,XRF
642,YOJ
643,NCM
644,ALL
645,AGG
646,APA
647,BHP
648,FMG
649,JHX
650,KLA
651,NWS
652,REA
653,RIO
654,S32
655,SGP
656,TLS
657,NWSLV
658,NAG
659,ABC
660,AGD
661,AGS
662,AGY
663,AIS
664,AJX
665,ALD
666,AJM
667,AMI
668,AMN
669,ANL
670,ANO
671,ANS
672,SSR
673,AQX
674,ARO
675,ASN
676,ATR
677,AUC
678,AUQ
679,AVL
680,AZS
681,AZY
682,BCI
683,BCN
684,BDC
685,BIS
686,BKW
687,BLD
688,BMH
689,BOA
690,BRI
691,BSE
692,BSM
693,CAA
694,CAZ
695,CBY
696,CFO
697,CG1
698,CHN
699,CII
700,CKA
701,CMC
702,CMM
703,CNJ
704,COB
705,COY
706,CRN
707,CSD
708,CSR
709,CTM
710,CXL
711,CZR
712,DAU
713,DCN
714,DEG
715,DGO
716,DGR
717,DRX
718,DTR
719,DTZ
720,ELT
721,EMR
722,ERL
723,EUR
724,EVN
725,FGR
726,FML
727,FMS
728,G1A
729,GBR
730,GBZ
731,GCY
732,GES
733,GGG
734,GMC
735,GME
736,GNM
737,GRR
738,GSN
739,GXY
740,HAV
741,HCD
742,HCH
743,HGO
744,HHM
745,HLX
746,HMX
747,HRN
748,HXG
749,HZR
750,ICG
751,IGO
752,ILU
753,IMA
754,IPL
755,IRD
756,JRL
757,KGL
758,KIN
759,KLR
760,KOR
761,KRM
762,KRR
763,KWR
764,LCY
765,LIN
766,LOM
767,LOT
768,LYC
769,MAR
770,MAT
771,MAU
772,MCR
773,MDI
774,MEP
775,MGL
776,MGU
777,MGV
778,MIN
779,MLX
780,MMI
781,MML
782,MRC
783,MRR
784,MSV
785,MWY
786,PNR
787,PRN
788,NES
789,NST
790,NUS
791,OAR
792,OGC
793,OMH
794,ORE
795,ORI
796,ORN
797,OZL
798,PAN
799,PDZ
800,PLS
801,PMY
802,PRU
803,PUA
804,RDM
805,RED
806,RIM
807,RMS
808,RND
809,RRL
810,RSG
811,RTG
812,RVR
813,RWD
814,SAR
815,SBM
816,SDV
817,SEI
818,SFR
819,SGM
820,SHH
821,SIH
822,SLR
823,SO4
824,SVY
825,SWK
826,SXX
827,SYA
828,SYR
829,TAS
830,TGH
831,TGN
832,TLG
833,TNG
834,TRY
835,TTT
836,TZN
837,VEA
838,VIA
839,VIP
840,VMC
841,VRX
842,VYS
843,WGN
844,WSA
845,WSI
846,ZIM
847,ZNC
848,AVQ
849,MAUCA
850,AGL
851,TLT
852,AST
853,CHC
854,DHG
855,SKI
856,VCX
857,VOC
858,5GN
859,ASP
860,BYI
861,CQE
862,EGG
863,EN1
864,EVT
865,EWC
866,FDV
867,FSG
868,GNX
869,GTN
870,HPI
871,HT1
872,ICI
873,ICQ
874,IFN
875,INA
876,JXT
877,MAQ
878,MNF
879,NEA
880,OML
881,OTW
882,PNW
883,PRT
884,PWG
885,RMY
886,RNE
887,RNT
888,SLC
889,ST1
890,SXL
891,TGO
892,TNY
893,TPC
894,URF
895,URFPA
896,UWL
897,VN8
898,VRL
899,WPP
