StockCode,Market Cap (intraday)5:,Enterprise Value,Price/Sales (ttm):,Price/Book (mrq):,Enterprise Value/Revenue (ttm)3:,Enterprise Value/EBITDA (ttm)6:,Profit Margin (ttm):,Operating Margin (ttm):,Return on Assets (ttm):,Return on Equity (ttm):,Revenue (ttm):,Revenue Per Share (ttm):,Qtrly Revenue Growth (yoy):,Gross Profit (ttm):,EBITDA (ttm)6:,Net Income Avl to Common (ttm):,Diluted EPS (ttm):,Total Cash (mrq):,Total Cash Per Share (mrq):,Total Debt (mrq):,Total Debt/Equity (mrq):,Current Ratio (mrq):,Book Value Per Share (mrq):,Operating Cash Flow (ttm):,Levered Free Cash Flow (ttm):,52-Week Change3:,52-Week High (17/01/2017)3:,52-Week Low (08/12/2016)3:,50-Day Moving Average3:,200-Day Moving Average3:,Avg Vol (3 month)3:,Avg Vol (10 day)3:,Shares Outstanding5:,Float:
HLA,108849816.0,171665904.0,1.2479199,2.442529,1.968,22.668,0.03085,0.055159997,0.028369999,0.094469994,87225000.0,1.384,0.207,22927000.0,7573000.0,2691000.0,0.041,4159000.0,0.066,54711000.0,94.564,0.697,0.696,17333000.0,12750750.0,0.39344263,1.8,0.48,1.4845161,1.1542319,144118.0,116326.0,87628600.0,33808636.0
HMD,15003901.0,10913933.0,160.21935,5.2631583,116.545,-3.311,0.0,-34.04094,-0.52013,-1.1331301,93646.0,0.001,-0.589,33812.0,-3296623.0,-3113109.0,-0.032,2264359.0,0.017,210058.0,8.556,5.17,0.019,-2500208.0,-1511488.0,-0.35483873,0.24,0.058,0.11508065,0.12622102,291308.0,381216.0,150039008.0,87762521.0
IBX,171645600.0,125920320.0,70.21178,34.0,51.508,-35.707,-1.7116001,-1.47131,-0.46333998,-1.31635,2444684.0,0.005,-0.019,220994.0,-3526501.0,-4184312.0,-0.009,4326926.0,0.006,744619.0,20.996,2.684,0.005,-2392278.0,-637776.0,5.5384617,0.215,0.009428,0.15967742,0.10285507,11547219.0,13639189.0,1009680000.0,629695095.0
ICS,20627040.0,16657330.0,3.3940253,3.2996635,2.741,12.442,0.20266001,0.20532,0.08851,0.19843,6077456.0,0.575,-0.086,3186581.0,1338831.0,1231670.0,0.116,4590711.0,0.433,464164.0,7.369,1.752,0.594,2843152.0,2257718.0,0.06811988,2.45,1.4,2.0530646,1.8603623,15830.0,20878.0,10524000.0,4938610.0
IDT,46473372.0,39811040.0,3.279933,2.0103092,2.81,60.047,-0.13543999,-0.087869994,-0.026029998,-0.079450004,14169000.0,0.06,0.247,12560000.0,663000.0,-1919000.0,-0.008,6860000.0,0.029,5000.0,0.021,2.587,0.097,-1888000.0,-1357125.0,0.34482753,0.235,0.08,0.18580645,0.17637682,199134.0,268561.0,238324992.0,143104407.0
IDX,895437952.0,1097907968.0,3.24945,3.8448424,3.984,19.862,0.083579995,0.14178,0.05456,0.12956001,275566016.0,1.487,0.222,99228000.0,55276000.0,23033000.0,0.123,57965000.0,0.298,277848000.0,121.687,1.095,1.173,54250000.0,33160624.0,0.121890664,4.71,1.78,4.3134375,4.137266,310929.0,264063.0,198544992.0,148051371.0
IMC,48181500.0,35140744.0,19.13053,6.71875,13.953,-12.124,-1.16225,-1.15816,-0.24695998,-0.45051,2518566.0,0.014,-0.317,1829730.0,-2898486.0,-2927206.0,-0.017,3250468.0,0.018,61105.0,1.083,8.538,0.032,-3147328.0,-2644620.0,0.65384626,0.95,0.05,0.22975807,0.28422102,534918.0,652921.0,224100000.0,162401988.0
IME,52271648.0,38559716.0,5.4789844,4.916201,4.042,-9.29,-0.64950997,-0.52936,-0.29111,-1.01035,9540390.0,0.444,0.654,2687493.0,-4150783.0,-6196582.0,-0.289,6293533.0,0.264,2883449.0,33.804,2.448,0.358,-3996575.0,-5171946.0,0.17333329,2.35,0.75,1.7022581,1.686413,52286.0,81731.0,29699800.0,13204033.0
IMM,259170000.0,177781824.0,18.86343,5.882353,12.94,-13.551,-0.98027,-1.097,-0.21621001,-0.46694002,13739283.0,0.034,0.234,-6656699.0,-13119090.0,-13468232.0,-0.034,26322048.0,0.054,9051496.0,27.182,9.26,0.068,-10839339.0,-5562063.0,0.23076928,45.0,0.1,4.5051613,1.1968659,4241931.0,2475837.0,647924992.0,461162331.0
IMR,288764992.0,250101920.0,334.7251,17.692308,289.908,-29.523,0.0,-10.308471,-0.43013,-6.96615,862693.0,0.01,4.088,262339.0,-8471356.0,-14041456.0,-0.155,11425317.0,0.102,2787932.0,19.103,7.918,0.13,-9319397.0,-3054591.0,0.60839164,2.94,0.75,2.323871,2.227645,96612.0,33657.0,125550000.0,82092357.0
