,MSE,rf_n_estimators,rf_max_depth,rf_max_leaves,rf_min_samples_split,rf_n_bins,scalers
93,1.7931622340762832,50,50,200,20,128,StandardScaler
94,1.7924867104377784,50,50,200,20,128,MinMaxScaler
95,1.793146134031781,50,50,200,20,128,QuantileTransformer
96,1.7931802618470172,50,50,200,20,512,StandardScaler
97,1.7925062558652194,50,50,200,20,512,MinMaxScaler
98,1.7932330072194231,50,50,200,20,512,QuantileTransformer
99,1.7931323941291482,50,50,200,50,32,StandardScaler
100,1.7924178616248123,50,50,200,50,32,MinMaxScaler
101,1.7929097111022063,50,50,200,50,32,QuantileTransformer
102,1.792896076057235,50,50,200,50,128,StandardScaler
103,1.7922338415551755,50,50,200,50,128,MinMaxScaler
104,1.792867187407803,50,50,200,50,128,QuantileTransformer
105,1.7928835296307446,50,50,200,50,512,StandardScaler
106,1.7922117969935143,50,50,200,50,512,MinMaxScaler
107,1.7929138975629708,50,50,200,50,512,QuantileTransformer
108,1.792846971284021,50,50,100,2,32,StandardScaler
109,1.7922403307815,50,50,100,2,32,MinMaxScaler
110,1.792754166841418,50,50,100,2,32,QuantileTransformer
111,1.7927649505392225,50,50,100,2,128,StandardScaler
112,1.7922350625103065,50,50,100,2,128,MinMaxScaler
113,1.792850901131343,50,50,100,2,128,QuantileTransformer
114,1.7928833511931173,50,50,100,2,512,StandardScaler
115,1.7923024591394163,50,50,100,2,512,MinMaxScaler
116,1.792990010559224,50,50,100,2,512,QuantileTransformer
117,1.7929130832164373,50,50,100,10,32,StandardScaler
118,1.7922771740146102,50,50,100,10,32,MinMaxScaler
119,1.7927868850465036,50,50,100,10,32,QuantileTransformer
120,1.792792471016053,50,50,100,10,128,StandardScaler
121,1.7922224323899278,50,50,100,10,128,MinMaxScaler
122,1.7928311595163366,50,50,100,10,128,QuantileTransformer
123,1.7928629262259728,50,50,100,10,512,StandardScaler
124,1.7922645585305996,50,50,100,10,512,MinMaxScaler
125,1.7929436282393738,50,50,100,10,512,QuantileTransformer
126,1.7928637816002146,50,50,100,20,32,StandardScaler
127,1.792188589725625,50,50,100,20,32,MinMaxScaler
128,1.7926887425371318,50,50,100,20,32,QuantileTransformer
129,1.7926952337745283,50,50,100,20,128,StandardScaler
130,1.7920724834176869,50,50,100,20,128,MinMaxScaler
131,1.7926823495987347,50,50,100,20,128,QuantileTransformer
132,1.7927148558940087,50,50,100,20,512,StandardScaler
133,1.7920931692802595,50,50,100,20,512,MinMaxScaler
134,1.7927655575897774,50,50,100,20,512,QuantileTransformer
135,1.7926735600631531,50,50,100,50,32,StandardScaler
136,1.7920140703147152,50,50,100,50,32,MinMaxScaler
137,1.7924696202329284,50,50,100,50,32,QuantileTransformer
138,1.7924579341464113,50,50,100,50,128,StandardScaler
139,1.7918464209200864,50,50,100,50,128,MinMaxScaler
140,1.7924330405112974,50,50,100,50,128,QuantileTransformer
141,1.7924490619857034,50,50,100,50,512,StandardScaler
142,1.791828436980138,50,50,100,50,512,MinMaxScaler
143,1.7924789651867072,50,50,100,50,512,QuantileTransformer
144,1.79242567140182,50,100,1000,2,32,StandardScaler
145,1.7918747327847273,50,100,1000,2,32,MinMaxScaler
146,1.7923658181007918,50,100,1000,2,32,QuantileTransformer
147,1.7923797364891063,50,100,1000,2,128,StandardScaler
148,1.791896413865916,50,100,1000,2,128,MinMaxScaler
149,1.792468928284031,50,100,1000,2,128,QuantileTransformer
150,1.792503945006144,50,100,1000,2,512,StandardScaler
151,1.791967379987116,50,100,1000,2,512,MinMaxScaler
152,1.792607033746137,50,100,1000,2,512,QuantileTransformer
153,1.792537663613228,50,100,1000,10,32,StandardScaler
