Date,Price,Volume,Dividends,Stock Splits,OpenClose_spread,Highlow_spread,5_Days_MA,10_Days_MA,15_Days_MA,30_Days_MA,5_Days_VAR,15_Days_VAR,30_Days_VAR,15_Days_EWMA,15_Days_RSI,15_Days_MFI,15_Days_ATR,ForceIndex,Typical_MACD
2017-05-02,19.19025230407715,4843022,0.0,0.0,-0.2014237545704134,0.39369339210330523,19.706630325317384,20.709173583984377,21.351594670613608,21.050251324971516,0.36919424429890774,1.7416433854218574,1.0458134138780595,20.687814833437024,30.469656145372568,37.29917138671351,0.5060023960387956,-18490190.73482893,0.2922982167545243
2017-05-03,19.217716217041016,2813841,0.0,0.0,0.11902274825371961,0.23804724281006528,19.442947006225587,20.43541946411133,21.144676971435548,21.016319020589194,0.17002378559720707,1.953824269865566,1.137541867442525,20.504052506387524,30.921129553691088,35.94671123353842,0.46846423247429075,-7703005.664176941,0.37645361556421264
2017-05-04,18.98882484436035,3565682,0.0,0.0,-0.045779314638444646,0.4028492373068424,19.206731033325195,20.15067863464356,20.91517537434896,20.97597230275472,0.019716162399184275,2.1111177878453673,1.2545851957579368,20.314649048634127,29.226536641268538,30.76112209578723,0.45442571169396356,-10152952.502983106,0.4563564037279306
2017-05-05,18.38455390930176,6118305,0.0,0.0,0.027467588727528636,0.3753833940670539,19.00896873474121,19.83023090362549,20.638674799601237,20.916090774536134,0.13288080656513748,2.2998986739908607,1.460650506687426,20.07338715621758,25.304017904761196,25.44295385513783,0.45106862380169777,-19605969.549264908,0.5619616097443156
2017-05-08,17.92677116394043,7731931,0.0,0.0,-0.09155689298138014,0.34333703895331524,18.74162368774414,19.464004898071288,20.307850519816082,20.826365280151368,0.32013090147577217,2.3461971047436023,1.7574081948762927,19.805060157182936,22.8182481040551,18.79895611348553,0.477925243088414,-28316342.053506877,0.6748148920396062
2017-05-09,18.064104080200195,7832225,0.0,0.0,-0.4577827179211553,0.7690751058117407,18.51639404296875,19.111512184143066,19.9782470703125,20.74030221303304,0.3211617061721225,2.0685665938396376,2.0117305516934696,19.587440647560094,25.18070281713362,22.97869138741521,0.4644969941592772,-27608022.463464763,0.744587175252633
2017-05-10,18.402862548828125,3655713,0.0,0.0,0.02746584308518507,0.2380472024514333,18.35342330932617,18.898185157775877,19.74142074584961,20.666141319274903,0.16822153322121297,1.9065641556325896,2.1940045994380917,19.439368385218597,30.78030630153819,28.58834913485086,0.4290951359267171,-7798623.835418701,0.7637432779904998
2017-05-11,18.49441909790039,3252202,0.0,0.0,0.027467587175603825,0.2105795961064061,18.25454216003418,18.730636596679688,19.518633143107095,20.58618189493815,0.06003585653255155,1.6510112562251162,2.348246518264989,19.32124972430382,32.248637946850536,33.24331388635011,0.4022386364263674,-5449017.654941559,0.7627443371555316
2017-05-12,18.93389129638672,6067117,0.0,0.0,-0.04577756484393802,0.20142547643851216,18.36440963745117,18.686689186096192,19.341623814900718,20.522397422790526,0.15610032681891522,1.3356819918369687,2.435824527048941,19.27282992081418,38.912860463688936,40.40632156440052,0.39857629003888395,-2666340.8185710907,0.7182118367684787
2017-05-15,18.714155197143555,3466671,0.0,0.0,0.0640892936665125,0.4394709391151892,18.5218864440918,18.631755065917968,19.149965413411458,20.458612950642905,0.10780027678868458,0.9636736119212437,2.543983140415346,19.20299558035535,36.96501041867,36.569795538509645,0.4156669993938626,-1904385.2133235931,0.6926657564986662
2017-05-16,18.51272964477539,4295585,0.0,0.0,-0.28382475367409654,0.5127178246849695,18.611611557006835,18.564002799987794,18.944878641764323,20.392081832885744,0.045366820500048276,0.5226820876294312,2.669885386137617,19.116712338407854,35.232856069225406,36.06246455014701,0.40406992042120204,-2910356.1724567413,0.6808255296215044
2017-05-17,19.355052947998047,4473502,0.0,0.0,-0.20142548262638016,0.3021364776373545,18.80204963684082,18.577736473083498,18.86613998413086,20.35759563446045,0.12731573104231733,0.3471932649524109,2.7057386276451734,19.146504914606627,46.47138008766795,43.888526380259,0.39827126573607124,614376.1406097412,0.596596421359564
2017-05-18,19.45576477050781,5845435,0.0,0.0,0.5859613259685155,0.668362355720646,18.994318771362305,18.624430465698243,18.818530654907228,20.31456413269043,0.16428318780438406,0.24818292265377287,2.726646825943234,19.185162396594272,47.63539154523892,50.76192537759113,0.43672507993648324,2729466.9871997624,0.5157721436167009
2017-05-19,19.107851028442383,3902303,0.0,0.0,-0.842320238739962,0.9613447187947735,19.029110717773438,18.696760177612305,18.800829696655274,20.23552042643229,0.16507961180198308,0.23183755285873306,2.723627191284973,19.175498475575285,44.08696543078586,54.12659722516465,0.4300108940579984,2822524.5179138044,0.47432433684769393
2017-05-22,19.510698318481445,2511575,0.0,0.0,-0.11902273588226464,0.39369340886836923,19.188419342041016,18.855152893066407,18.81730982462565,20.16868413289388,0.1665379738895613,0.25225034311550054,2.6806020728584876,19.217398455938554,48.816995385599284,52.144341517094794,0.42879022946215883,3978151.8431663513,0.40430961226090645
2017-05-23,19.611408233642575,3080624,0.0,0.0,0.18311203347096594,0.3753834231657116,19.408155059814455,19.009883308410643,18.84538688659668,20.098490778605143,0.0367740006646529,0.2865132980504965,2.603526706675742,19.266649678151555,49.95106745346696,58.149284516536675,0.4397769108157403,4766662.310394276,0.33681341472551907
2017-05-24,18.89727020263672,5481222,0.0,0.0,-0.10071273892953414,0.40284746311378683,19.31659851074219,19.059324073791505,18.824023818969728,19.984350395202636,0.09084162432066259,0.27631451507175697,2.4694026170508674,19.2204772437122,42.75386933508937,51.922507327926205,0.44527019950307767,2709958.109024048,0.3370617249449772
2017-05-25,19.02545166015625,2506979,0.0,0.0,-0.27467068094216174,0.48524856761690316,19.230535888671874,19.11242733001709,18.826465606689453,19.870820490519204,0.09793296586088009,0.27726625523791715,2.281299665673066,19.196099045767703,44.29734866746158,56.323382279395055,0.4477115349620289,1331287.481891632,0.323189809275533
2017-05-26,19.17194366455078,2995161,0.0,0.0,-0.21057964523973283,0.41200342595132255,19.243354415893556,19.136232566833495,18.87895825703939,19.758816528320313,0.0948229410101956,0.2688903241710768,2.040950458637666,19.193079623115587,46.07757823228371,63.333162122714434,0.4522894129001474,713005.1690826416,0.2969524526679912
2017-05-29,19.12615776062012,2584272,0.0,0.0,0.21973552884580272,0.4120052080250929,19.16644630432129,19.177432823181153,18.9589173634847,19.63338394165039,0.07299494241726993,0.20164357086775095,1.7005836003591972,19.18471439030365,45.58965939622767,72.4057813839404,0.42482239873226013,1064726.6887207122,0.27666448238968044
2017-05-30,19.382518768310547,1586203,0.0,0.0,-0.26551476415306396,0.3570698932934313,19.120668411254883,19.26441173553467,19.046811676025392,19.512529373168945,0.03254947083753805,0.14899115555154768,1.2949171618772213,19.20943993755451,48.839598926318736,69.53081221815985,0.43519869446614456,1379662.1171188354,0.23716602663062858
2017-05-31,19.355052947998047,2933337,0.0,0.0,0.29298063620365866,0.3936916384596998,19.21222496032715,19.26441173553467,19.110291035970054,19.42585589090983,0.02332855660263531,0.12184099599758587,1.082245084586189,19.22764156385995,48.50701427163436,69.23211664356145,0.43764026067614453,0.0,0.20570820192546435
2017-06-01,19.538169860839844,2646230,0.0,0.0,0.03662170972177847,0.24720308925640566,19.314768600463868,19.272652244567873,19.179874420166016,19.349253781636556,0.028023512065398923,0.10263773416386644,0.8762678244204501,19.266457600982434,50.89564615966265,68.98355893525867,0.4425231608407877,218062.82218934046,0.16410988807591664
2017-06-02,19.510698318481445,2422847,0.0,0.0,0.1190245048155738,0.27466897890816,19.38251953125,19.312936973571777,19.218328221639,19.279976018269856,0.026783149308381524,0.1045489007207667,0.699215380023237,19.29698769066981,50.51896542566264,61.97204541516544,0.4327571416061415,976037.3481292725,0.13183988045513217
2017-06-05,19.629722595214844,3429408,0.0,0.0,0.00915586361891485,0.2929806505954957,19.483232498168945,19.324839401245118,19.279366048177085,19.21466573079427,0.012951271524639955,0.09448966128888629,0.5151679226554284,19.338579553737937,52.16249318622289,68.72198009551514,0.42848440895045103,408182.80682373047,0.09555984807316875
2017-06-06,19.80367660522461,3681405,0.0,0.0,-0.009155863523755414,0.4486268348496125,19.567464065551757,19.34406623840332,19.365429178873697,19.15515391031901,0.02721786793611059,0.06420875044827191,0.3290669789669943,19.396716685173768,54.52758709337732,69.24917935142659,0.43794517587782733,707817.7444839608,0.052169646997366925
2017-06-07,19.93185806274414,3394022,0.0,0.0,0.33875818195199514,0.4440479815479996,19.682825088500977,19.447525024414062,19.403882853190105,19.135011418660483,0.03249878649860347,0.08553401746892218,0.28368749665730436,19.463609357370064,56.23584100417512,68.67599525159577,0.4171924637312614,3511413.958137512,0.007354647868073272
2017-06-08,19.79452133178711,3419038,0.0,0.0,-0.20142374806975027,0.35707167352215663,19.73409538269043,19.52443199157715,19.42646662394206,19.12249863942464,0.027100711634396913,0.09569518083287956,0.26159274197045534,19.504973354172193,53.91093185790573,59.554033239196286,0.3756866932881259,2629478.43195343,-0.016884995679593118
2017-06-09,19.90439224243164,3533379,0.0,0.0,0.09155687360554055,0.3387581621477409,19.812834167480467,19.597676849365236,19.47956937154134,19.140199534098308,0.01412465938176193,0.10173792883818088,0.280179770369751,19.554900715204624,55.48827597082338,67.63965371668894,0.38117997913028273,2588018.423664093,-0.044448378844659686
2017-06-13,19.96847915649414,3234966,0.0,0.0,0.21973549368551915,0.4760926965007215,19.88058547973633,19.681908988952635,19.51008809407552,19.163698959350587,0.006060737668141514,0.11774456313162836,0.3027410919692096,19.606598020365812,56.420374609389604,61.17888501119999,0.3881991805279635,2724881.0767249945,-0.0706494342542392
2017-06-14,19.995946884155277,5120421,0.0,0.0,0.3296023279828333,0.4806714441309232,19.91903953552246,19.74325180053711,19.5357240041097,19.19055544535319,0.006060664322850374,0.1331684913435359,0.32585465759035903,19.655266628339493,56.83545405798074,62.85731420884916,0.39369269979011534,3141010.206361789,-0.09256336267341325
2017-06-15,19.638877868652344,6779065,0.0,0.0,0.036623451310170196,0.48525025204606465,19.8604434967041,19.77163429260254,19.585164515177407,19.20459416707357,0.021350355852175713,0.1021936342817721,0.3325561305727002,19.653218033378597,50.17873668520884,61.02928197133571,0.3817903659802705,1924067.585735321,-0.08019340378594109
2017-06-16,19.483230590820312,4734148,0.0,0.0,0.23804720555787284,0.3067135604692304,19.798185348510742,19.766140365600585,19.615683110555015,19.221074358622232,0.05099122071608131,0.07956086820331586,0.3333469565937295,19.63196960305881,47.57627805281656,53.74964178785698,0.37538154773446164,-260090.63528442383,-0.057171648548060006
2017-06-19,19.748743057250977,2198686,0.0,0.0,-0.1373344484050918,0.31587115226419016,19.76705551147461,19.78994483947754,19.654136403401694,19.26654733022054,0.04757104623588421,0.06517661231141261,0.3166791655248279,19.64656628483283,52.11534974512342,53.12014106708815,0.36683618395852685,523385.6345062256,-0.05966361372027862
