Date,Price,Volume,Dividends,Stock Splits,OpenClose_spread,Highlow_spread,5_Days_MA,10_Days_MA,15_Days_MA,30_Days_MA,5_Days_VAR,15_Days_VAR,30_Days_VAR,15_Days_EWMA,15_Days_RSI,15_Days_MFI,15_Days_ATR,ForceIndex,Typical_MACD
2017-01-19,8.128884315490723,1613285,0.0,0.0,-0.028893887356529646,0.12520806990511968,8.207863044738769,8.213642692565918,8.235473696390788,8.13691242535909,0.012866289375053828,0.0065791341081723655,0.031085893499330997,8.196890770691134,50.01658466368459,44.65548340887164,0.0773719745925216,-124307.02359676361,-0.05972346182697308
2017-01-20,8.003677368164062,1768423,0.0,0.0,0.02889388281312577,0.09149836718153459,8.165484428405762,8.202084732055663,8.215568669637044,8.14750690460205,0.021029452078439245,0.009673915667246707,0.02456591612096213,8.172739095375249,44.63339120778735,39.98975741963066,0.08026139210585406,-204393.63199424744,-0.039356824526324274
2017-01-23,8.01330852508545,2665283,0.0,0.0,-0.05778776695743382,0.10112905143550588,8.103843688964844,8.180895519256591,8.198874155680338,8.155854034423829,0.015983184401649468,0.012131730887454398,0.02001392875319926,8.152810274089024,45.12019257382658,47.75360345001131,0.0853981225188147,-564752.4865674973,-0.0237198440078501
2017-01-24,8.591192245483398,7687677,0.0,0.0,-0.0577886889013115,0.1637335469469905,8.15970573425293,8.217494678497314,8.216210619608562,8.182821877797444,0.060639641461695516,0.021553840658847197,0.020981235840649693,8.20760802051332,64.93829650957099,59.38319364494449,0.09759790593119658,2813625.1471424103,-0.05729732307488966
2017-01-25,8.880136489868164,5671731,0.0,0.0,0.1637335565802971,0.2793100226628411,8.323439788818359,8.275283050537109,8.255378532409669,8.21621069908142,0.1544709584047296,0.050978670902774144,0.03340104025465325,8.291674079182675,70.62174940875795,67.55818198268736,0.10401885436130277,3277601.011376381,-0.10600118716010165
2017-01-27,8.783818244934082,4210931,0.0,0.0,0.05778870935080249,0.13483970947162405,8.454426574707032,8.3311448097229,8.293903986612955,8.243178542455038,0.17654815847136346,0.06916016012741832,0.04174838603968821,8.353192099901602,66.7568951809409,61.673060836030935,0.108513539631667,2352300.1346998215,-0.13526798777730598
2017-01-30,8.668242454528809,2474468,0.0,0.0,-0.09631416516188906,0.1444712477428336,8.58733959197998,8.37641201019287,8.330503018697103,8.265972805023193,0.11510141658682647,0.07555554384515635,0.04513228906035099,8.392573394230002,62.36872891130263,60.18542025876705,0.11140295764508044,1120122.3901252747,-0.14743658061854248
2017-01-31,8.600823402404785,4844055,0.0,0.0,0.0,0.08668257150849001,8.704842567443848,8.404343128204346,8.35554453531901,8.285556634267172,0.015510266879124074,0.0793111408681292,0.04640056123878683,8.41860464525185,59.90752652615652,52.34146899779898,0.11332921599939513,1352998.7185907364,-0.14991203147151566
2017-02-01,8.552664756774902,1490220,0.0,0.0,-0.01926228409068642,0.08668257470823271,8.697137069702148,8.42842140197754,8.377375475565593,8.301929918924968,0.017996471104384796,0.08036242692441013,0.04685186125611312,8.43536215919223,58.15124435572509,48.931375919880026,0.11461342789919104,358819.2514228821,-0.146301372728054
2017-02-02,8.456355094909668,1358892,0.0,0.0,0.01926319910250207,0.07705095937023465,8.61238079071045,8.467910289764404,8.387648963928223,8.314129797617595,0.015138730469702965,0.08029179769966617,0.04597667703332979,8.43798627615691,54.71429950204821,44.5314918188998,0.11461342815035463,536611.3370246887,-0.13412243490015996
