Date,Price,Volume,Dividends,Stock Splits,OpenClose_spread,Highlow_spread,5_Days_MA,10_Days_MA,15_Days_MA,30_Days_MA,5_Days_VAR,15_Days_VAR,30_Days_VAR,15_Days_EWMA,15_Days_RSI,15_Days_MFI,15_Days_ATR,ForceIndex,Typical_MACD
2019-04-03,5.5571136474609375,5557769,0.0,0.0,0.12412807946087145,0.15754700266238153,5.453991985321045,5.311722326278686,5.32540823618571,5.340137720108032,0.014559878294850545,0.019972321004353175,0.012061119112479203,5.365663055938536,62.20421989542471,56.06265539673046,0.08848098524176311,1485883.8868861198,-0.028416533505517982
2019-04-04,5.5189208984375,6623894,0.0,0.0,-0.01909659169717237,0.08116062853764561,5.501733589172363,5.344186592102051,5.334956550598145,5.344349559148153,0.005214948878885113,0.022368800883676838,0.013050172260044663,5.384820286250907,59.53963177665914,50.95126733949567,0.08943580733452776,2150398.5560178757,-0.03753671696229244
2019-04-05,5.538017749786377,3754490,0.0,0.0,0.009548524249439971,0.05728977960055115,5.528468990325928,5.377605724334717,5.346414566040039,5.349509493509928,0.0022792652914100484,0.025103921054422877,0.014263887124349396,5.403969969192841,60.44730677255934,56.37442701508658,0.09325512640735364,1254717.9777622223,-0.04577778653646014
2019-04-08,5.5571136474609375,4129105,0.0,0.0,0.07638683166012061,0.10503149514628873,5.549475288391113,5.4177085876464846,5.357872517903646,5.357486661275228,0.00047407661776705293,0.028026569580187788,0.015649571563093476,5.423112928976353,61.37563890776546,56.98384065387903,0.09293687228753338,1655889.3341493607,-0.05323610027331949
2019-04-09,5.45208215713501,4356970,0.0,0.0,0.0,0.05251596864121755,5.524649620056152,5.453037261962891,5.364874585469564,5.364455000559489,0.0018963469923542367,0.0285996352752106,0.01545618193829664,5.426734082496186,53.91796351130377,57.95115067834425,0.0964379062262422,1539259.7413635254,-0.05009424884145908
2019-04-10,5.480727195739746,3452186,0.0,0.0,-0.0859348901551149,0.10025722008141535,5.509372329711914,5.481682157516479,5.377605660756429,5.368328317006429,0.001823419062649464,0.028981676874891057,0.015906841961660135,5.433483221651631,55.49804557157182,59.884556380240554,0.09516480021905267,988875.0740156174,-0.04934688400329712
2019-04-11,5.3947930335998535,6274479,0.0,0.0,0.028644661832121443,0.05728977896293497,5.484546756744384,5.493140172958374,5.3909733136494955,5.3696486790974935,0.004312342704398805,0.026410680482087924,0.015923230216299055,5.428646948145159,49.98870610465689,63.33628274084942,0.09389166400408086,718930.7727184296,-0.04134383726134683
2019-04-12,5.432985782623291,3737123,0.0,0.0,-0.04774125728572809,0.07638637589613673,5.463540363311767,5.496004676818847,5.406250603993734,5.374422836303711,0.0037106037369462504,0.023784977377431564,0.015817912309937458,5.429189302454926,52.24610813257579,63.547835593424495,0.0932550955415877,107050.03260564804,-0.03764920412623152
2019-04-15,5.413888931274414,3453917,0.0,0.0,0.009548523864960856,0.06683784586001007,5.434895420074463,5.492185354232788,5.423437531789144,5.3785604317983,0.0011122640698353983,0.019002453412632105,0.015606752533417634,5.4272767560573625,51.01254360858831,65.65476209977524,0.09389166360424633,-131916.23208475113,-0.03280210222757063
2019-04-16,5.404340744018555,5395617,0.0,0.0,-0.009548068109649144,0.05251596814836468,5.425347137451172,5.4749983787536625,5.443807220458984,5.3846076965332035,0.0011578530180408762,0.011055904797923243,0.014756561856066795,5.424409754552512,50.37538335893219,67.24580324590525,0.08943577654756509,-927343.3707375574,-0.02786902338367714
