Date,Price,Volume,Dividends,Stock Splits,OpenClose_spread,Highlow_spread,5_Days_MA,10_Days_MA,15_Days_MA,30_Days_MA,5_Days_VAR,15_Days_VAR,30_Days_VAR,15_Days_EWMA,15_Days_RSI,15_Days_MFI,15_Days_ATR,ForceIndex,Typical_MACD
2022-04-20,25.291399002075195,1318831,0.0,0.0,0.6614066719713882,0.848968381017503,24.961682510375976,24.864939498901368,24.69448750813802,23.561540857950845,0.153417236536079,0.13810025778139753,2.0967723384069847,24.567907152215042,68.49689811510329,66.39845296749844,0.5797995531086992,963420.1723823501,-0.7424414556196766
2022-04-21,25.33088493347168,1369107,0.0,0.0,-0.6515346969328135,0.888456233737017,25.05052833557129,24.9182466506958,24.784649276733397,23.729031372070313,0.1762206164864237,0.1216978890692336,1.8102738444135602,24.663279374872122,68.81007597494019,66.21385443702587,0.5699278371631228,729831.946718216,-0.7356525168714434
2022-04-22,24.97550201416016,1706654,0.0,0.0,-0.11846170961095126,0.27640940050222085,25.151219558715823,24.92614402770996,24.811632029215495,23.875462150573732,0.08129396817155378,0.12025184776016869,1.5002829892264558,24.702307204783125,62.79071295599999,57.99037584087117,0.5468938772314386,134780.90070725093,-0.6936004087119798
2022-04-26,24.077173233032227,1746678,0.0,0.0,-0.19743555763870546,0.36525521676609785,25.018938064575195,24.884682655334473,24.79123026529948,23.96628214518229,0.3052471473251713,0.14522556032879702,1.2736716631586025,24.624165458314263,50.763790107027354,48.72041275178361,0.5640050319188106,-724196.6697807312,-0.5810877669732832
2022-04-27,24.175891876220703,2485841,0.0,0.0,-0.3553832421623824,0.8489702416612701,24.770170211791992,24.82841377258301,24.784649022420247,24.06368325551351,0.3654132881724646,0.15316096603328075,1.0116746038196822,24.56813126055257,51.84967898424369,45.90184993255007,0.6265261033475269,-1398754.9576778412,-0.4941897455010391
2022-04-28,24.244993209838867,1259071,0.0,0.0,0.6317907794852289,1.342557289291161,24.560889053344727,24.76128578186035,24.763589350382485,24.145289611816406,0.3116978919612789,0.1699114577522749,0.8287207111380833,24.527739004213355,52.63315499508316,46.31882622513644,0.6403466050491857,-845189.0640716553,-0.4259878151718013
2022-04-29,25.00511741638184,1892688,0.0,0.0,-0.2665374351579821,0.5232029042488122,24.495735549926756,24.773131942749025,24.77740961710612,24.240058263142902,0.20750296398027462,0.17378999514125107,0.7092952911262038,24.587411305734417,60.25515112369762,47.92926108948348,0.644295389485224,224210.86560058594,-0.42833538121731607
2022-05-02,24.481914520263672,927911,0.0,0.0,0.38499725858071443,0.5034589673897649,24.397018051147462,24.77411880493164,24.749768702189126,24.309818522135416,0.13782532343820886,0.17819483816401466,0.5881393647423836,24.574224207550575,53.8631767020542,48.61930659070805,0.6317911491910354,9157.20274734497,-0.38355634431229646
2022-05-03,23.59345817565918,1187776,0.0,0.0,-0.26653743269169894,0.5429449484742115,24.30027503967285,24.659606552124025,24.6898801167806,24.341408030192056,0.2619782520566344,0.2651019676547116,0.5093182446009924,24.45162845356415,45.14913793030319,50.44315733468511,0.6469279113317533,-1360149.0559082031,-0.2732280304232475
2022-05-04,24.027816772460938,1369787,0.0,0.0,-0.8390982748782818,0.9871739980015093,24.2706600189209,24.520415115356446,24.64249585469564,24.39274107615153,0.27557252424440076,0.2938360462491358,0.3915085355772082,24.39865199342625,49.43422584927921,51.240756681106355,0.659432277639258,-1906626.2059555054,-0.21832444714480914
