StockCode,Market Cap (intraday)5:,Enterprise Value,Price/Sales (ttm):,Price/Book (mrq):,Enterprise Value/Revenue (ttm)3:,Enterprise Value/EBITDA (ttm)6:,Profit Margin (ttm):,Operating Margin (ttm):,Return on Assets (ttm):,Revenue (ttm):,Revenue Per Share (ttm):,Qtrly Revenue Growth (yoy):,Gross Profit (ttm):,EBITDA (ttm)6:,Net Income Avl to Common (ttm):,Diluted EPS (ttm):,Total Cash (mrq):,Total Cash Per Share (mrq):,Total Debt (mrq):,Total Debt/Equity (mrq):,Current Ratio (mrq):,Book Value Per Share (mrq):,Operating Cash Flow (ttm):,Levered Free Cash Flow (ttm):,52-Week Change3:,52-Week High (17/01/2017)3:,52-Week Low (08/12/2016)3:,50-Day Moving Average3:,200-Day Moving Average3:,Avg Vol (3 month)3:,Avg Vol (10 day)3:,Shares Outstanding5:,Float:
ATP,5134464.0,9231236.0,0.37367687,0.375,0.672,-3.337,-0.58782,-0.23025,-0.07388,13740385.0,0.032,-0.383,2770213.0,-2766363.0,-8076828.0,-0.019,718302.0,0.002,4851823.0,35.566,1.011,0.032,-1293065.0,347556.0,0.5,0.022,0.005,0.013,0.009608695,968176.0,1745578.0,427872000.0,196287533.0
AU8,27295198.0,34991380.0,0.4452991,1.5416666,0.571,-9.865,-0.083979994,-0.07377,-0.08334,61296324.0,0.203,-0.286,26588578.0,-3547151.0,-5147947.0,-0.017,8228008.0,0.022,15555299.0,97.053,0.759,0.048,3009135.0,5836543.0,-0.25714284,0.145,0.032,0.08102857,0.06555634,569388.0,304554.0,368855008.0,200881857.0
AX1,1257131392.0,1600554752.0,1.5149721,3.064729,1.929,13.165,0.0671,0.10835,0.069699995,829804992.0,1.537,-0.052,473386000.0,121580208.0,55682000.0,0.099,54912000.0,0.102,401468000.0,98.108,0.983,0.757,166672000.0,126286384.0,0.3527696,2.53,0.555,2.325625,1.8110431,1279265.0,734496.0,541867008.0,369016165.0
BAP,2552385792.0,2838850048.0,1.7449263,2.603878,1.941,18.004,0.05412,0.09505,0.0573,1462747008.0,4.982,0.151,680274000.0,157680992.0,79172000.0,0.269,126300000.0,0.372,410956000.0,41.846,1.985,2.888,200252992.0,111461376.0,0.18425202,8.53,2.85,7.6766667,7.177357,1227137.0,861895.0,339412992.0,329087572.0
BBN,669540864.0,753430144.0,1.6524814,7.076503,1.86,21.249,0.02465,0.075619996,0.07438,405172992.0,3.184,0.15,146860000.0,35457000.0,9986000.0,0.073,13337000.0,0.105,105978000.0,113.504,1.034,0.732,49847000.0,41545876.0,0.560241,5.6,1.51,4.920625,4.421295,442419.0,265039.0,129255000.0,120785369.0
BET,445454368.0,329860960.0,51.908043,5.9905663,38.438,-156.839,-0.24943,-0.29393,-0.03383,8581606.0,0.019,0.345,6332983.0,-2103176.0,-2140551.0,-0.005,31624870.0,0.056,462941.0,0.766,20.062,0.106,-501151.0,-5604146.0,1.490196,0.795,0.081,0.6962903,0.52619565,3956305.0,3939958.0,701502976.0,380597731.0
BLX,379645696.0,476060384.0,1.4989288,4.3257,1.88,13.704,0.087749995,0.11958,0.08762,253278000.0,1.152,0.093,162251000.0,34738000.0,22225000.0,0.101,44856000.0,0.202,144302000.0,165.925,1.554,0.393,55351000.0,51857876.0,0.61904776,1.85,0.39,1.6448387,1.3798188,202739.0,150096.0,223320992.0,91083084.0
BRG,4030678272.0,3857033984.0,4.232821,9.289145,4.05,33.326,0.069520004,0.1155,0.11914,952243968.0,7.264,0.252,320560000.0,115735000.0,66201000.0,0.505,128457000.0,0.941,24346000.0,5.71,2.442,3.123,132295000.0,82371504.0,0.5948323,30.62,10.0,26.296667,26.308357,306461.0,224264.0,138940992.0,95407476.0
CBR,397647680.0,391142912.0,10.210494,4.466338,10.043,-15.769,-2.9283898,-0.75598997,-0.14964,38945000.0,0.388,1.047,-11574000.0,-24804000.0,-114046000.0,-1.14,33861000.0,0.232,28193000.0,31.709,1.748,0.609,-30975000.0,-37224752.0,-0.33496332,4.44,0.8,2.7729032,2.3980434,180264.0,291554.0,146194000.0,112790587.0
CCX,880352576.0,763418048.0,4.5264206,13.75,3.925,33.28,0.049650002,0.091309994,0.09616999,194492000.0,1.012,0.226,93473000.0,22939000.0,9160000.0,0.05,21382000.0,0.111,44691000.0,82.931,1.2,0.28,26297000.0,13871375.0,0.23397434,4.24,0.24,3.7860606,3.235,680405.0,404781.0,228663008.0,165696002.0
