StockCode,Market Cap (intraday)5:,Enterprise Value,Price/Sales (ttm):,Price/Book (mrq):,Enterprise Value/Revenue (ttm)3:,Enterprise Value/EBITDA (ttm)6:,Profit Margin (ttm):,Operating Margin (ttm):,Return on Assets (ttm):,Revenue (ttm):,Revenue Per Share (ttm):,Qtrly Revenue Growth (yoy):,Gross Profit (ttm):,EBITDA (ttm)6:,Net Income Avl to Common (ttm):,Diluted EPS (ttm):,Total Cash (mrq):,Total Cash Per Share (mrq):,Total Debt (mrq):,Total Debt/Equity (mrq):,Current Ratio (mrq):,Book Value Per Share (mrq):,Operating Cash Flow (ttm):,Levered Free Cash Flow (ttm):,52-Week Change3:,52-Week High (17/01/2017)3:,52-Week Low (08/12/2016)3:,50-Day Moving Average3:,200-Day Moving Average3:,Avg Vol (3 month)3:,Avg Vol (10 day)3:,Shares Outstanding5:,Float:
BPP,23231990.0,29220846.0,1.350726,3.0000002,1.699,32.058,-0.10335,-0.03341,-0.02089,17199632.0,0.024,0.439,3364008.0,911496.0,-1777623.0,-0.002,3563601.0,0.004,10175271.0,129.82,1.02,0.009,906478.0,-4215350.0,0.58823526,0.038,0.013,0.034,0.028695652,1192381.0,1505103.0,860444032.0,447125780.0
BSA,138660800.0,117169544.0,0.28524747,4.2666664,0.241,9.244,-0.0019699999,0.01708,0.03483,486107008.0,1.128,-0.163,56966000.0,12675000.0,7802000.0,-0.002,37742000.0,0.087,16466000.0,50.997,1.017,0.075,31285000.0,14953875.0,-0.17948717,0.41,0.23,0.33596775,0.30278987,223170.0,249303.0,433315008.0,317979127.0
BXB,15535679488.0,17620099072.0,3.1944072,5.772802,3.623,12.299,0.09212,0.19469999,0.0799,4863399936.0,3.14,-0.005,1710800000.0,1432600064.0,477200000.0,0.288,805900032.0,0.535,2517700096.0,91.34,1.119,1.831,1386899968.0,194224992.0,-0.15507597,13.42,8.97,10.63697,10.714143,4141076.0,3000241.0,1469789952.0,1504440499.0
CDD,136435872.0,268372448.0,0.13794373,0.529595,0.271,3.799,0.057210002,0.03203,0.02537,989068992.0,2.222,0.033,84411000.0,70647000.0,-67078000.0,0.127,57723000.0,0.129,174231008.0,60.734,1.268,0.642,73477000.0,100230000.0,-0.08108109,0.44,0.195,0.34080645,0.3082971,177358.0,188239.0,401281984.0,155955853.0
CI1,39216548.0,37755848.0,2.8810441,3.4444444,2.774,7.275,0.18669,0.37585998,0.1576,13611922.0,0.013,1.326,13611922.0,5189807.0,2541275.0,0.002,3154490.0,0.003,2465450.0,22.307,1.101,0.009,3143005.0,7400571.0,0.54999995,0.043,0.02,0.031258065,0.027471015,9564156.0,6337924.0,1265049984.0,433095051.0
CLH,49681800.0,119728544.0,0.329073,0.6769826,0.793,2.481,-0.96089,0.2759,0.06435,150975008.0,1.074,-0.32,128236000.0,48266000.0,-145070000.0,-1.032,182196992.0,1.288,252423008.0,345.222,0.834,0.517,65349000.0,16081375.0,-0.6666666,1.09,0.26,0.6262903,0.98195654,416639.0,925859.0,141948000.0,136795335.0
CLQ,234774352.0,158793952.0,201.00543,4.6491227,135.954,-8.349,0.0,-148.96661,-0.7257,1168000.0,0.002,-0.712,-11007000.0,-19019000.0,-197482000.0,-0.265,40083000.0,0.054,1351000.0,3.21,7.984,0.057,3453000.0,15655625.0,0.081632614,0.385,0.105,0.2785484,0.2565942,1296125.0,2654339.0,885940992.0,570556858.0
CLT,24318210.0,28556756.0,0.25272238,0.95454544,0.297,-50.722,-0.02466,-0.0134000005,-0.01664,96225000.0,0.909,-0.253,18112000.0,-563000.0,-2373000.0,-0.022,6936000.0,0.03,11072000.0,43.589,1.754,0.11,3625000.0,2537250.0,-0.4166667,0.18,0.03,0.09880645,0.05915942,3279595.0,2912953.0,232602000.0,45534244.0
CLX,52844432.0,145249968.0,0.24467063,0.625,0.673,9.593,-0.02014,0.02885,0.020580001,215981920.0,2.879,0.054,42739429.0,15140912.0,-4348839.0,-0.058,7611064.0,0.101,101842392.0,124.785,0.96,1.088,23332148.0,18065370.0,-0.14999998,0.865,0.44,0.71129036,0.6086232,16140.0,3040.0,77712400.0,35881113.0
CUP,137067600.0,137497488.0,1.6592734,1.948052,1.664,15.03,0.19201,0.081999995,0.01963,82607000.0,0.745,0.34,29859000.0,9148000.0,15861000.0,0.142,25842000.0,0.232,20093000.0,25.723,1.081,0.616,12437000.0,9324250.0,0.004184127,1.34,0.7,1.2019355,1.0249456,35150.0,40405.0,114223000.0,97856588.0
CVL,214196848.0,324083936.0,0.5466046,0.89523816,0.827,9.145,0.04488,0.06373,0.030299999,391868000.0,0.782,0.774,44651000.0,35438000.0,17586000.0,0.035,27712000.0,0.055,116448000.0,44.264,1.015,0.525,95201000.0,19824624.0,0.06818187,0.535,0.35,0.44854838,0.4293478,25035.0,31892.0,501084992.0,215363432.0
CWY,4568427008.0,5546357760.0,1.9589326,1.7745802,2.378,14.038,0.048410002,0.08336,0.02813,2332100096.0,1.137,0.001,596800000.0,395100000.0,112900000.0,0.055,79800000.0,0.039,1065400000.0,41.439,0.905,1.251,401500000.0,206475008.0,0.12690353,2.665,1.395,2.3912122,2.3050714,5876727.0,8379765.0,2057849984.0,2046037143.0
CYG,96312200.0,151709568.0,0.38903487,0.94107306,0.613,24.344,0.0032,0.01657,0.013710001,247567008.0,2.757,0.108,93094000.0,6232000.0,791000.0,0.009,7542000.0,0.084,63156000.0,61.845,1.49,1.137,14786000.0,15224891.0,0.019047737,1.13,0.465,0.99903226,0.8426087,40059.0,49753.0,90011400.0,54422423.0
DEM,56179516.0,50806060.0,4.412227,6.9565215,3.99,-13.623,-0.28162,-0.31935,-0.25013,12732689.0,0.078,0.697,2582203.0,-3729505.0,-3585836.0,-0.022,6265114.0,0.036,929052.0,11.448,2.333,0.046,-1800929.0,-2391590.0,0.33333337,0.34,0.1,0.26798388,0.23099637,242879.0,410969.0,175560992.0,108077342.0
DOW,3125530624.0,5608349696.0,0.24528009,1.3305827,0.44,10.397,-0.01179,0.01594,0.01521,12742700032.0,21.514,-0.039,1352900000.0,539400000.0,-157700000.0,-0.266,607500032.0,1.025,2835899904.0,108.22,1.072,3.878,178800000.0,-105912496.0,-0.2882759,7.58,2.585,5.412424,4.793152,2264844.0,1304935.0,789865984.0,586972750.0
DTI,7369494.0,4991594.0,0.5232059,1.4666667,0.354,-2.101,-0.19391,-0.19236,-0.11951999,14085266.0,0.047,0.319,1423607.0,-2375393.0,-2731270.0,-0.009,2701353.0,0.008,358530.0,7.036,1.434,0.015,-1163498.0,-246307.0,0.100000024,0.031,0.013,0.021064516,0.022355072,23661.0,141111.0,334976992.0,161990598.0
EAX,8045771.0,11699075.0,0.4067274,2.5409837,0.591,8.406,-0.12571,0.06242,0.050640002,19781728.0,0.762,-0.168,5568628.0,1391685.0,-2486756.0,-0.096,3195898.0,0.123,6849197.0,215.811,2.221,0.122,3013733.0,1873470.0,0.24000001,0.325,0.093,0.30451614,0.2588768,6942.0,0.0,25954100.0,3839912.0
ECL,42911860.0,25616120.0,0.7157703,0.8700765,0.427,4.91,0.06136,0.085769996,0.055630002,59952000.0,2.068,0.015,17163000.0,5217000.0,3679000.0,0.127,19233000.0,0.663,1946000.0,3.947,5.172,1.701,8022000.0,5173875.0,0.0,1.485,0.8,0.81942856,0.80478877,0.0,0.0,28994500.0,10599627.0
EDE,74797192.0,66658792.0,30.766317,4.0,27.419,-9.025,0.0,-3.56862,-0.23513001,2431139.0,0.001,0.414,1871567.0,-7385672.0,-9105991.0,-0.005,1388683.0,0.001,5998005.0,38.125,1.378,0.009,-7375690.0,-6513043.0,0.028571367,0.043,0.019,0.028516129,0.026949275,4441919.0,13690675.0,2077699968.0,993153462.0
EGL,8090225.0,10930371.0,0.21616736,0.46969697,0.292,-10.089,-0.035150003,-0.03682,-0.028870001,37425748.0,0.172,-0.138,12897982.0,-1083424.0,-1315675.0,-0.006,763961.0,0.004,5038593.0,35.277,0.882,0.066,1139868.0,1923372.0,-0.18421054,0.047,0.023,0.032,0.030399507,222993.0,284826.0,260975008.0,69153331.0
EGN,184894784.0,186025760.0,1.0238827,1.9601328,1.03,12.551,0.07433,0.06486,0.057290003,180582000.0,0.576,0.053,94848000.0,14821000.0,13423000.0,0.043,15105000.0,0.048,22065000.0,24.906,2.873,0.301,14093000.0,-4446125.0,-0.09230769,0.65,0.38,0.5891936,0.5557246,11589.0,6000.0,313380992.0,29620767.0
EGY,24798336.0,29341688.0,2.4469743,0.90625,2.895,-10.828,-0.43438998,-0.31085,-0.07275,10134286.0,0.118,-0.294,2491495.0,-2709891.0,-4402220.0,-0.051,27676.0,0.0,8481634.0,64.863,0.582,0.16,483741.0,-929600.0,-0.42000002,0.25,0.075,0.11396774,0.08735508,90882.0,49810.0,171023008.0,81862981.0
EHL,609341568.0,837734400.0,1.1275146,1.1336032,1.55,3.764,0.12236,0.21204,0.07713,540428992.0,1.652,0.224,244859000.0,222571008.0,66132000.0,0.198,198168992.0,0.548,630899968.0,176.601,1.426,0.988,181972992.0,29399876.0,-0.4909091,2.55,0.485,1.1428125,0.96155864,2095421.0,1555686.0,544054976.0,260739013.0
EMB,24815390.0,30914250.0,0.34311354,1.336277,0.427,7.083,0.02982,0.053940002,0.07169,72324136.0,33.517,0.459,18704333.0,4364579.0,2156598.0,0.999,24574.0,0.011,6123468.0,32.972,1.485,8.606,2434748.0,1834938.0,0.036036015,12.0,9.96,11.335484,10.991232,80.0,220.0,2157860.0,243514.0
EOS,779306624.0,664531968.0,4.224885,2.197385,3.603,2919.403,-0.01582,-0.024260001,-0.00949,184456288.0,1.759,0.322,75887947.0,227626.0,-2917192.0,-0.028,128135768.0,0.862,19556288.0,5.567,4.423,2.371,-95106408.0,-99128640.0,-0.50238776,10.8,2.95,5.780625,5.8064027,733946.0,650089.0,149579008.0,114839557.0
EVZ,11534004.0,12798107.0,0.17416465,0.5429864,0.193,-5.809,-0.041550003,-0.05731,-0.052360002,66224712.0,0.689,-0.227,6877390.0,-2203258.0,-2751440.0,-0.029,5869679.0,0.061,7133778.0,33.642,1.005,0.221,3873412.0,2391991.0,-0.2727273,0.25,0.066,0.11629032,0.10282609,120407.0,8214.0,96116704.0,62530664.0
FLC,146840688.0,130856696.0,1.5445858,3.1333332,1.376,-13.453,-0.123330005,-0.11193,-0.05013,95068000.0,0.159,1.42,8421000.0,-9727000.0,-11725000.0,-0.023,20489000.0,0.033,3747000.0,7.861,1.206,0.075,-19423000.0,-19403000.0,-0.3648649,0.395,0.17,0.2414516,0.22749999,837410.0,425853.0,624854016.0,292119261.0
FLN,233358848.0,222189360.0,3.9636996,8.1746025,3.774,-270.303,-0.049039997,-0.03973,-0.01579,58874000.0,0.131,0.03,48554000.0,-822000.0,-2887000.0,-0.006,37055000.0,0.082,26040000.0,90.568,0.851,0.063,7261000.0,7547000.0,0.07291663,0.75,0.23,0.49709678,0.53507245,136291.0,476457.0,453124000.0,73532309.0
GNG,183080528.0,151241728.0,0.8118388,5.2212386,0.671,-16.775,-0.03215,-0.04634,-0.07274,225513392.0,1.468,0.426,97045928.0,-9015785.0,-7249916.0,-0.047,37528996.0,0.244,7459967.0,21.509,1.294,0.226,11239763.0,15825469.0,0.28961742,1.265,0.6,1.1756451,1.0469565,33063.0,47936.0,155152992.0,52853624.0
GUD,1117808768.0,1257266048.0,2.5519817,3.7645948,2.87,14.772,0.09972,0.18429,0.084139995,438016000.0,5.053,-0.016,203035000.0,85114000.0,43678000.0,0.5,29987000.0,0.346,252908000.0,92.038,2.686,3.169,65514000.0,50748000.0,-0.022931993,13.66,7.12,11.763637,11.759714,299855.0,203250.0,93697296.0,86054383.0
HIL,41757480.0,63837396.0,0.18973514,0.9375,0.29,7.819,-0.02797,0.01969,0.020299999,220083008.0,0.949,-0.309,25542000.0,8164000.0,-6156000.0,-0.027,12236000.0,0.053,34316000.0,76.873,1.556,0.192,21987000.0,30984060.0,-0.56626505,0.485,0.1,0.17112903,0.16538043,171684.0,232194.0,231986000.0,141258307.0
HIT,72295000.0,65094876.0,2.167299,10.326087,1.951,15.098,0.10001001,0.12629,0.25821,33357188.0,0.877,0.084,6105679.0,4311569.0,3336117.0,0.088,7608206.0,0.2,408083.0,5.84,2.715,0.184,5717917.0,5011307.0,0.4559387,2.4,0.835,1.8962903,1.6075362,10398.0,10545.0,38050000.0,7404910.0
IGN,4299945.0,5815944.0,0.034137927,1.4545455,0.046,-1.761,-0.049790002,-0.028099999,-0.11542,125958000.0,1.406,-0.127,15267000.0,-3302000.0,-3777000.0,-0.07,650000.0,0.007,2166000.0,74.28,1.254,0.033,4581000.0,6500500.0,0.6,0.081,0.005,0.040774193,0.03126087,131410.0,118715.0,89582200.0,36283468.0
IMD,626394176.0,622499456.0,2.5937111,2.7670755,2.578,11.898,0.09009,0.13156,0.06879,241504992.0,0.626,-0.043,163405000.0,52318000.0,21758000.0,0.055,38263000.0,0.099,47632000.0,21.491,3.223,0.571,52370000.0,33427000.0,0.11267614,1.8,0.76,1.6345454,1.4003571,835099.0,310957.0,396452000.0,372926905.0
IPH,1368767616.0,1480092672.0,3.7431364,3.2115679,4.048,13.91,0.14973,0.22767,0.090179995,365673984.0,1.726,0.432,250212000.0,106403000.0,54752000.0,0.258,82910000.0,0.387,205875008.0,48.709,3.006,1.971,89818000.0,63884876.0,-0.32081544,10.34,5.77,6.300303,6.9692144,634263.0,436107.0,216235008.0,208110068.0
JLG,692187776.0,686964416.0,1.39804,13.261803,1.387,18.453,0.03201,0.066300005,0.110039994,495112992.0,2.228,0.433,100652000.0,37228000.0,15850000.0,0.071,46768000.0,0.21,38455000.0,65.065,1.084,0.233,50237000.0,53344000.0,0.2510121,3.31,1.63,3.18875,2.863957,201501.0,104047.0,224008992.0,126920690.0
KOV,56403980.0,54280432.0,0.90253586,1.6473702,0.869,6.604,0.07572,0.11066,0.0911,62495000.0,5.54,-0.046,26049000.0,8219000.0,4732000.0,0.414,6391000.0,0.565,4342000.0,12.697,2.885,3.023,5223000.0,723750.0,0.16901398,5.24,2.91,4.982903,4.6577535,9792.0,20738.0,11326100.0,9195384.0
KPG,94709992.0,125395816.0,2.0431688,6.0,2.705,9.047,0.0866,0.26498,0.14318,46354464.0,1.021,0.087,24592252.0,13860145.0,4014509.0,0.088,3779132.0,0.083,26806624.0,116.94,0.877,0.35,14644222.0,10852118.0,1.4418602,2.22,0.6,2.0425806,1.4712319,21256.0,14632.0,45100000.0,16741704.0
KSC,173859760.0,270074336.0,0.21989779,0.68078667,0.342,4.039,0.01421,0.02915,0.0252,790638976.0,6.287,-0.162,99184000.0,66869000.0,11237000.0,0.088,17237000.0,0.134,113451000.0,44.427,1.015,1.983,83074000.0,53786000.0,-0.17682922,1.66,1.16,1.4303225,1.326087,5711.0,3792.0,128785000.0,20595366.0
KTG,68474096.0,64850148.0,205.40216,15.1851845,194.531,-17.858,0.0,-11.11454,-0.74028,333366.0,0.003,-0.464,-1707.0,-3631391.0,-8411825.0,-0.07,3493579.0,0.021,173097.0,4.516,5.3,0.027,-3787133.0,10546.0,1.2777777,0.445,0.044,0.3467742,0.27277175,316121.0,629138.0,167010000.0,81216163.0
LAU,103255048.0,295995072.0,0.24960609,1.1165049,0.716,14.435,0.01286,0.03311,0.027090002,413672000.0,1.386,0.068,137257000.0,20505000.0,5322000.0,0.018,17895000.0,0.06,210635008.0,228.051,0.951,0.309,38272000.0,19494216.0,-0.041666687,0.375,0.295,0.33741936,0.33865944,117418.0,185426.0,299289984.0,131699586.0
LBL,54083552.0,58393248.0,2.4386935,4.4140625,2.633,12.184,0.12648,0.15974,0.110690005,22177264.0,0.232,-0.103,11289739.0,4792439.0,2805061.0,0.029,3997653.0,0.042,8481622.0,69.316,2.582,0.128,4259963.0,2853327.0,-0.19858152,0.825,0.225,0.6158871,0.59927535,148665.0,83341.0,95723104.0,32948587.0
LCM,39005652.0,33969260.0,0.33339304,1.4130435,0.29,5.426,0.0239,0.04045,0.050180003,116996000.0,0.582,2.163,36316000.0,6261000.0,2796000.0,0.013,15930000.0,0.079,8697000.0,31.425,1.38,0.138,11571000.0,9670070.0,0.13888884,0.215,0.1,0.16942857,0.14859155,31609.0,52083.0,200028992.0,64416216.0
LVH,85326720.0,65258660.0,24.686823,3.6075947,18.881,-4.425,0.0,-4.308,-0.27703,3456367.0,0.012,0.277,-6046191.0,-14748067.0,-14644872.0,-0.049,20980794.0,0.07,961627.0,4.016,6.898,0.079,-11033785.0,-7721606.0,0.46153855,0.42,0.068,0.2816129,0.2955435,156508.0,308151.0,299392000.0,208682328.0
LYL,224134720.0,124205912.0,1.0692779,2.854251,0.593,8.224,0.05631,0.06656,0.0633,209613168.0,5.276,0.248,35325059.0,15103675.0,11803953.0,0.296,102888488.0,2.59,3658513.0,4.7,1.77,1.976,62189024.0,61253792.0,-0.0738917,6.3,3.7,5.040645,4.490797,18239.0,23466.0,39740200.0,22338732.0
M8S,14693490.0,18276980.0,7.4113126,0.7078652,9.219,-2.125,0.0,-4.68826,-0.24666001,1982576.0,0.012,1.907,-1685622.0,-8600051.0,-13794138.0,-0.084,4164270.0,0.018,7747770.0,37.416,4.34,0.089,-5299599.0,-5868553.0,-0.6181818,0.19,0.041,0.062225807,0.06406884,218714.0,165146.0,233230000.0,77707516.0
MAD,184000000.0,205046000.0,0.6726449,3.8174274,0.75,6.28,0.063990004,0.09522,0.17296,273547008.0,1.368,0.191,54743000.0,32650000.0,17504000.0,0.088,6456000.0,0.032,27502000.0,57.157,1.677,0.241,20401000.0,2395625.0,-0.16363639,1.12,0.62,0.9435484,0.89128625,130261.0,539388.0,200000000.0,42732000.0
MAH,571072320.0,615987264.0,0.4137084,1.1134453,0.446,3.579,0.04705,0.05706,0.05633,1380374016.0,0.659,0.237,807448000.0,172104992.0,64948000.0,0.03,141836992.0,0.068,202750000.0,40.727,1.499,0.238,193692992.0,92210128.0,0.0,0.305,0.14,0.26459676,0.25623187,1302527.0,315666.0,2154990080.0,1022279253.0
MCE,15859755.0,29369822.0,0.5780426,0.54964536,1.07,-3.872,-2.35004,-0.45306998,-0.0913,27437000.0,0.278,-0.82,-4318000.0,-7586000.0,-64478000.0,-0.654,14681000.0,0.143,28191000.0,97.587,6.197,0.282,-5579000.0,-1737500.0,-0.4918033,0.375,0.125,0.15508065,0.15601449,132129.0,210150.0,102321000.0,49753795.0
MMS,981192448.0,1179518464.0,1.9863724,4.28668,2.388,7.126,0.00257,0.20136999,0.08085,493961984.0,6.257,-0.192,493962000.0,165534000.0,1269000.0,0.016,91408000.0,1.181,289734016.0,126.584,1.749,2.958,188460000.0,157595696.0,-0.009374976,13.5,5.01,12.0027275,10.198,223535.0,169568.0,77381104.0,65771620.0
MND,1227065728.0,1108072704.0,0.824226,3.1850579,0.744,16.867,0.024500001,0.03334,0.04434,1488749056.0,15.773,0.014,102422000.0,65696476.0,36483000.0,0.385,208292000.0,2.205,91892000.0,23.903,2.018,4.069,119078000.0,93443440.0,-0.24166179,17.72,7.77,13.935454,11.438429,328690.0,229650.0,94681000.0,87766464.0
MRM,115509456.0,227042624.0,0.4230945,0.14227642,0.832,13.075,-0.34422,-0.08063,-0.02315,273011008.0,0.303,0.186,10841000.0,17365000.0,-93977000.0,-0.104,86637000.0,0.094,281470016.0,123.93,2.404,0.246,38461000.0,-2965875.0,-0.78125,6.5,0.029,0.03333871,0.045843095,11442937.0,5943977.0,3300270080.0,739067467.0
MSG,9313751.0,7598728.0,0.37090322,8.333333,0.303,28.353,0.01258,0.00745,0.02179,25111000.0,0.134,0.118,5695000.0,268000.0,316000.0,0.002,2081000.0,0.011,366000.0,35.26,1.236,0.006,284000.0,-90625.0,2.125,0.06,0.009,0.04216129,0.02909058,650208.0,988584.0,186275008.0,97367574.0
MXI,46269000.0,105442912.0,0.1456837,0.59241706,0.332,-19.738,-0.11175,-0.02596,-0.0235,317599008.0,1.716,-0.048,117553000.0,-5342000.0,-35492000.0,-0.192,25523000.0,0.138,84697000.0,108.473,1.751,0.422,31387000.0,13345125.0,0.21951222,0.375,0.1,0.28943548,0.24764493,110842.0,113161.0,185076000.0,111978173.0
PPE,316733056.0,302654976.0,0.85335094,3.1788695,0.815,11.862,0.044180002,0.057540003,0.08492,371163904.0,4.889,0.215,41509350.0,25513610.0,16396195.0,0.204,31464964.0,0.351,26630760.0,27.519,1.714,1.079,27128848.0,25906008.0,-0.033802807,4.08,0.9,3.43875,3.031079,265743.0,214352.0,92342000.0,61351715.0
NVX,914201536.0,871662080.0,214.93253,13.612565,204.931,-64.152,0.0,-3.4695,-0.16743,4253435.0,0.031,0.44,3008248.0,-13587366.0,-20028526.0,-0.147,38807664.0,0.111,5132115.0,7.714,10.327,0.191,-5593517.0,-7154845.0,4.7777777,4.23,0.18,1.7079687,1.3594245,2691161.0,8877735.0,351616000.0,177115375.0
NWH,1228736000.0,1359944192.0,0.61303097,2.583559,0.678,6.072,0.03679,0.057150003,0.079169996,2004361984.0,4.949,1.09,980165000.0,223960000.0,73749000.0,0.18,170228992.0,0.399,309852992.0,65.593,1.19,1.107,215702000.0,87529376.0,-0.030508518,3.25,1.0,2.9548485,2.3632143,1994511.0,2240444.0,429628000.0,397913989.0
OEC,87366152.0,90175288.0,2.5861747,4.828326,2.669,-148.071,0.054970004,-0.044850003,-0.02642,33782000.0,0.436,0.73,18673000.0,-609000.0,1857000.0,0.024,8749000.0,0.113,11639000.0,64.297,1.917,0.233,3726000.0,-1801625.0,1.2959182,1.61,0.38,1.1775806,1.2142391,57597.0,46358.0,77658800.0,64151971.0
OLH,15261337.0,17427294.0,0.6206066,2.116279,0.709,-15.602,-0.05941,-0.08307999,-0.08914,24591000.0,0.211,-0.008,10935000.0,-1117000.0,-1461000.0,-0.013,1785000.0,0.011,3204000.0,40.388,1.429,0.043,716000.0,505875.0,0.07058823,0.1,0.068,0.091,0.085847825,11770.0,0.0,167707008.0,15527947.0
OVT,61129672.0,182599024.0,0.11328575,0.2916667,0.338,126.191,-0.20154,-0.03504,-0.029000001,539606016.0,0.737,-0.321,243926000.0,1447000.0,-108750000.0,-0.15,16200000.0,0.022,193675008.0,1090.635,0.724,0.024,8089000.0,12102375.0,-0.8541666,0.063,0.005,0.0070987097,0.009753703,6145966.0,1162362.0,8732810240.0,173031180.0
PG1,35533300.0,30664902.0,18.346415,5.882353,15.833,-7.511,0.0,-2.55537,-0.29285,1936798.0,0.009,4.659,-3039111.0,-4082512.0,-9284966.0,-0.045,2213152.0,0.007,2900357.0,67.649,1.249,0.017,-3526960.0,-3758358.0,-0.047618985,0.155,0.06,0.09725806,0.087768115,612325.0,962209.0,355332992.0,215015035.0
PGX,97891800.0,88324768.0,0.4750807,2.0955882,0.429,9.855,0.02256,0.037639998,0.0512,206052992.0,1.27,0.12,18601000.0,8962000.0,4648000.0,0.028,15241000.0,0.089,5704000.0,12.201,1.604,0.272,-11897000.0,-12155125.0,0.48051953,0.585,0.1,0.56362903,0.41043478,1045069.0,320949.0,171740000.0,4755739.0
PKD,2179350.0,1136953.0,8.15625,1.9333333,4.255,-0.641,0.0,-6.85864,-0.5815,267200.0,0.004,-0.849,26822.0,-1774166.0,-1303898.0,-0.017,1103741.0,0.015,61344.0,5.379,8.27,0.015,-1274636.0,-1178332.0,-0.51666665,0.08,0.018,0.03764516,0.030007247,182864.0,183972.0,75150000.0,18883692.0
PTB,88240648.0,111855256.0,1.1292057,1.0029069,1.431,9.443,0.05144,0.11812,0.04916,78144000.0,0.84,0.878,31127000.0,11845000.0,4020000.0,0.043,15461000.0,0.123,40738000.0,47.199,3.745,0.688,-8414000.0,-25028624.0,-0.2058742,0.95,0.27,0.6979032,0.6902536,162880.0,73870.0,127885000.0,75065854.0
QAN,8487180288.0,13463353344.0,0.5952991,5.4811206,0.944,8.994,-0.13776,0.00358,0.0015700001,14257000448.0,9.404,-0.453,4115000000.0,1496999936.0,-1964000000.0,-1.296,3520000000.0,1.876,8535000064.0,559.305,0.596,0.821,1083000064.0,-84150000.0,-0.29356354,6.83,2.03,4.8603125,4.4017267,9647481.0,7294435.0,1886040064.0,1857846399.0
QHL,65180476.0,89367616.0,0.7924485,3.0333333,1.087,13.494,0.04731,0.055630002,0.049050003,82252000.0,0.115,0.111,17291000.0,6623000.0,3891000.0,0.005,2408000.0,0.003,26853000.0,123.541,1.348,0.03,177000.0,-6658750.0,-0.3,0.145,0.055,0.085548386,0.083119564,727176.0,1033067.0,716268992.0,659221354.0
QIP,147855248.0,181544416.0,1.2684034,2.0488722,1.557,9.256,0.082040004,0.15279001,0.091809995,116568000.0,0.875,0.037,116568000.0,19614000.0,9563000.0,0.072,6163000.0,0.046,41508000.0,58.303,1.59,0.532,15084000.0,13257875.0,-0.17735851,1.35,0.97,1.1275806,1.0860145,54571.0,92053.0,135647008.0,86261303.0
QUB,5423036928.0,7366189056.0,2.9574287,1.6220831,4.017,25.047,0.04772,0.08311,0.01781,1833699968.0,1.093,0.06,466000000.0,294100000.0,87500000.0,0.052,224200000.0,0.119,2226200064.0,67.344,2.036,1.757,295100000.0,-227324992.0,-0.16909623,3.53,1.7,2.9369698,2.8182142,3453186.0,2570544.0,1902819968.0,1797755094.0
RDF,132992128.0,138174288.0,1.3202438,2.0983214,1.372,12.809,-0.10334,-0.0287,-0.01451,100733000.0,0.668,-0.14,82297000.0,10787000.0,-10410000.0,-0.069,22328000.0,0.148,28340000.0,45.003,1.79,0.417,11534000.0,-3104000.0,0.590909,0.89,0.315,0.47370967,0.41822463,50048.0,443014.0,151991008.0,23499210.0
REH,10342204416.0,11875107840.0,1.7208676,3.7608645,1.976,21.811,0.0381,0.06888,0.04783,6009878016.0,10.468,0.11,1671211000.0,544448000.0,228999008.0,0.399,1004707968.0,1.555,2537608960.0,92.281,2.7,4.257,600961984.0,422026368.0,0.44886875,17.12,7.75,15.875313,13.355468,1031015.0,659109.0,645984000.0,210138654.0
REX,187261808.0,191221632.0,0.7218396,1.0691824,0.737,-39.378,-0.07477,-0.10141,-0.06256,259423008.0,2.375,-0.39,14078000.0,-4856000.0,-19397000.0,-0.178,13246000.0,0.121,18759000.0,10.802,0.528,1.59,40842000.0,-29652376.0,0.51111114,2.5,0.37,1.9225806,1.438587,218804.0,117094.0,110154000.0,42482489.0
RFT,54995996.0,51764612.0,3.4097745,5.7142854,3.209,14.82,0.11294,0.20296,0.12722999,16128925.0,0.012,-0.379,10324482.0,3492793.0,1821638.0,0.001,6873680.0,0.005,3891866.0,40.558,2.65,0.007,6179439.0,3365309.0,-0.02439028,0.048,0.02,0.038806453,0.039561596,1108571.0,5617000.0,1374899968.0,327123570.0
RFX,52829040.0,46646132.0,26.160515,4.888889,23.099,-4.82,0.0,-5.1331897,-0.40717998,2019419.0,0.002,0.281,-3515403.0,-9678511.0,-10017689.0,-0.011,3390203.0,0.003,76241.0,0.9,3.892,0.009,-6936904.0,-3659876.0,0.0,0.053,0.02,0.029838711,0.027065217,4130668.0,15946806.0,1200659968.0,847834138.0
RWC,3373705472.0,3755275264.0,2.9023345,2.356512,3.231,16.125,0.07694,0.15972,0.0541,1162411008.0,1.485,0.059,481671000.0,232888000.0,89441000.0,0.114,82166000.0,0.105,493257984.0,34.749,2.431,1.812,240844992.0,178801744.0,-0.036117375,4.86,1.63,4.1075,3.8470504,2377214.0,2185267.0,790094976.0,774628783.0
SEK,9902491648.0,11584326656.0,6.20768,9.116022,7.262,39.389,-0.07002,0.16857,0.03914,1595200000.0,4.531,-0.1,707000000.0,294100000.0,-111700000.0,-0.326,608300032.0,1.729,2024099968.0,146.303,0.85,3.077,304300000.0,272675008.0,0.28492892,29.56,11.23,28.185938,23.715036,1192345.0,940497.0,353030016.0,330609625.0
