StockCode,Market Cap (intraday)5:,Enterprise Value,Price/Sales (ttm):,Price/Book (mrq):,Enterprise Value/Revenue (ttm)3:,Enterprise Value/EBITDA (ttm)6:,Profit Margin (ttm):,Operating Margin (ttm):,Return on Assets (ttm):,Return on Equity (ttm):,Revenue (ttm):,Revenue Per Share (ttm):,Qtrly Revenue Growth (yoy):,Gross Profit (ttm):,EBITDA (ttm)6:,Net Income Avl to Common (ttm):,Diluted EPS (ttm):,Total Cash (mrq):,Total Cash Per Share (mrq):,Total Debt (mrq):,Total Debt/Equity (mrq):,Current Ratio (mrq):,Book Value Per Share (mrq):,Operating Cash Flow (ttm):,Levered Free Cash Flow (ttm):,52-Week Change3:,52-Week High (17/01/2017)3:,52-Week Low (08/12/2016)3:,50-Day Moving Average3:,200-Day Moving Average3:,Avg Vol (3 month)3:,Avg Vol (10 day)3:,Shares Outstanding5:,Float:
360,616936064,517925728,8.5513350000,8.2869380000,7.1790000000,-26.8510000000,-.2640700000,-.2731399800,-.1356400000,-.2550100000,72145000,.4910000000,.5370000000,56691000,-19289000,-19051000,-.1300000000,58157000,.3930000000,3769000,5.4540000000,4.8370000000,.4670000000,-19289000,-7871250,.2208200700,4.4900000000,1.5100000000,3.8077419000,3.8347826000,388370,425848,159415008,52228434
3DP,335366496,333457120,273.0630500000,249.9999800000,271.5080000000,-136.7920000000,-2.0562801000,-2.0304900000,-.5992400000,-2.5838501000,1228165,.0020000000,1.1100000000,1082072,-2437693,-2525453,-.0050000000,2336873,.0030000000,427423,35.0680000000,1.5250000000,.0020000000,-802406,37683,10.1111110000,.6750000000,.0150000000,.5056451600,.4077173800,2540047,2181059,670732992,400991084
4DS,322611104,318939360,9627.0210000000,245.0000000000,9517.4530000000,-59.4320000000,.0000000000,-163.5777300000,-1.2038700000,-2.7209601000,33511,.0000000000,-.5830000000,33511,-5366459,-5469276,-.0050000000,2509785,.0020000000,574239,35.5190000000,2.0470000000,.0010000000,-3766897,-1756975,2.9516130000,.2800000000,.0250000000,.1593548400,.0943695700,7961498,12162349,1316780032,1070988751
8CO,30061502,25595076,7.9965030000,6.2500000000,6.8080000000,-57.8590000000,-.2138900000,-.1197400000,-.0433800000,-.1550700000,3759331,.0230000000,.0010000000,445214,-442369,-804089,-.0050000000,1842492,.0100000000,0,,2.0850000000,.0240000000,-200935,-60714,.9230770000,.1800000000,.0450000000,.1359677500,.1196775360,814943,946433,200410000,88047155
9SP,29866800,24785480,,19.9999980000,,,-.7520300000,.0000000000,-.3107800000,-1.3744000000,,,.0080000000,4701000,,,-.0180000000,,,,22.3830000000,2.6020000000,.0010000000,,,.1764705200,.0630000000,.0080000000,.0228870980,.0302644930,2540128,3245500,1493340032,967302928
A2B,138495648,134001288,.8104184000,1.0628465000,.7840000000,55.5560000000,-.1393800000,-.0567700000,-.0299000000,-.1604200000,170894000,1.4190000000,-.3200000000,121756000,2412000,-23820000,-.1980000000,25759000,.2140000000,20219000,15.3960000000,1.5920000000,1.0820000000,37975000,25555044,-.2013889600,1.5000000000,.5600000000,1.1877419000,1.0772464000,97578,51756,120431000,90060473
AD8,563514112,474979296,18.5873970000,11.9579300000,15.6670000000,-223.8360000000,-.1364900000,-.0755400000,-.0295600020,-.0995800050,30317000,.4520000000,.0010000000,23208000,-2122000,-4138000,-.0620000000,29689000,.4370000000,2588000,6.1670000000,5.5390000000,.6180000000,4835000,-2849375,-.0489060880,8.5000000000,2.5100000000,7.7935486000,6.5447826000,121625,135138,76253600,56376347
ADA,65974992,68123112,1.6612527000,4.2786070000,1.7150000000,22.8140000000,.0915000000,.0565500040,.0438100000,.2596400000,39714000,.5150000000,.1360000000,6693000,2986000,3634000,.0470000000,5177000,.0680000000,7564000,49.2030000000,1.4050000000,.2010000000,6109000,3743250,.4333332800,1.0350000000,.3000000000,.9187097000,.7340217000,71255,62669,76715104,37542201
ADS,57150300,49318184,5.8388920000,2.9000000000,5.0390000000,-9.8280000000,-1.6977900000,-.5180300000,-.0984600000,-.6799600000,9787867,.0060000000,-.0270000000,640208,-5018201,-16617725,-.0100000000,6160440,.0030000000,2006219,10.4050000000,2.1090000000,.0100000000,-3382408,-6022686,.0000000000,.0410000000,.0070000000,.0287096780,.0275579710,1824014,1998267,1970700032,1194241604
AER,7496737,6696875,4.5127140000,12.5000000000,4.0310000000,-26.8190000000,-.0931800000,-.1533700000,-.1442100000,-.2629900000,1661248,.0280000000,.0020000000,51230,-249702,-154801,-.0030000000,799857,.0130000000,0,,2.0330000000,.0100000000,-77161,-85139,-.1071428660,.1600000000,.0710000000,.1341935500,.1112898600,6691,0,59973900,18498337
AKP,691351680,679577792,10776.2710000000,192.7200000000,10592.7480000000,-92.3960000000,.0000000000,-116.3245600000,-.4868700000,-.9751400000,64155,.0020000000,-.3670000000,121763,-7355033,-6931073,-.2450000000,2655721,.0940000000,445064,12.5500000000,1.0050000000,.1250000000,-5467257,-2467348,.7072998000,31.8500000000,8.6900000000,24.4754830000,24.9057980000,8509,9769,28698700,8212876
ALU,4025894912,3946737920,21.2870660000,21.8479040000,20.8690000000,57.8570000000,.1632800000,.3329900000,.1371500000,.1674300000,189124000,1.4450000000,.0280000000,94395000,68215000,30881000,.2360000000,93083000,.7110000000,13933000,7.5590000000,1.9610000000,1.4070000000,56531000,37023876,-.2160163000,42.7600000000,23.1100000000,31.8712500000,34.7991370000,490086,510681,130966000,115099271
AMO,14908724,29035724,.2538951600,1.2745098000,.4940000000,18.0880000000,.0133500010,.0199300000,.0204900000,.0767300000,58720000,1.0530000000,.3410000000,18242000,1605250,784000,.0140000000,989000,.0130000000,15116000,129.4510000000,1.4910000000,.1530000000,1327000,-3260350,1.1195652000,.3500000000,.0320000000,.2003225800,.1449927500,114801,92285,76455000,14969123
AMS,186802976,177555664,4.1753010000,3.2386365000,3.9690000000,-14.8110000000,-.4939199700,-.2939900200,-.1424000000,-.5482200000,44740000,.2490000000,-.5890000000,15625000,-11988000,-22098000,-.1230000000,18768000,.0860000000,9534000,16.6070000000,3.3720000000,.2640000000,-13686000,-13815625,-.3713235300,1.4200000000,.2400000000,.9570967600,.7355435000,1254420,1935384,218483008,165148273
AMX,113280008,94566000,5.6143136000,3.0456855000,4.6870000000,20.7930000000,-.0145200010,.0376700000,.0130800000,-.0119600000,20177000,.2550000000,.0790000000,7262000,4548000,-293000,-.0040000000,22242000,.2360000000,3131000,8.3260000000,3.2030000000,.3940000000,8163000,-868625,-.4470046200,2.6000000000,.7000000000,1.1833872000,1.2500362000,149546,69875,94400000,29855888
AO1,2942574,1968799,179.0213500000,1.2000000000,119.7790000000,-1.8080000000,.0000000000,-68.6883300000,-.2948600000,-.5045500400,16437,.0000000000,.1240000000,-171329,-1088645,-1127409,-.0030000000,966272,.0020000000,0,,9.1500000000,.0050000000,-1245776,-709178,-.1428571300,.0220000000,.0030000000,.0068709680,.0080036230,1668233,4312554,490428992,305995900
APT,38689533952,37697486848,81.1858750000,38.3153720000,79.1040000000,3956.9100000000,-.0415100000,.0081000000,.0019900000,-.0286600000,476555008,1.8390000000,1.3290000000,342260000,9527000,-19780000,-.0800000000,616700992,2.2020000000,469044992,49.5630000000,7.2610000000,3.5260000000,-233952992,-254070368,2.5496585000,151.2200000000,8.0100000000,123.4100000000,94.3700000000,1666347,1727350,286376992,213783313
CCR,156852464,123821696,24.2261300000,14.1836740000,19.1240000000,-28.1060000000,-.6620800000,-.8327500000,-.4028200200,-.7662100000,6474516,.0360000000,,5609767,-4405462,-4286627,-.0240000000,2968997,.0160000000,1406016,15.8450000000,1.2590000000,.0490000000,-2193410,226636,.5108695000,1.2000000000,.4400000000,.7243548600,.7406923000,942773,301124,225687008,69255638
DC2,20767500,8520000,11.1893850000,50.7142830000,4.5910000000,568.0000000000,-.1126100000,-.1158399950,-.1937600000,-32.1538500000,1856000,.0770000000,,1153000,15000,-209000,-.0090000000,,,,,.7750000000,.0070000000,12000,-133500,-.3931623700,.6100000000,.2350000000,.3057258000,.3226818000,1099750,370476,58500000,13306080
