StockCode,Market Cap (intraday)5:,Enterprise Value,Price/Sales (ttm):,Price/Book (mrq):,Enterprise Value/Revenue (ttm)3:,Enterprise Value/EBITDA (ttm)6:,Profit Margin (ttm):,Operating Margin (ttm):,Return on Assets (ttm):,Return on Equity (ttm):,Revenue (ttm):,Revenue Per Share (ttm):,Qtrly Revenue Growth (yoy):,Gross Profit (ttm):,EBITDA (ttm)6:,Net Income Avl to Common (ttm):,Diluted EPS (ttm):,Total Cash (mrq):,Total Cash Per Share (mrq):,Total Debt (mrq):,Total Debt/Equity (mrq):,Current Ratio (mrq):,Book Value Per Share (mrq):,Operating Cash Flow (ttm):,Levered Free Cash Flow (ttm):,52-Week Change3:,52-Week High (17/01/2017)3:,52-Week Low (08/12/2016)3:,50-Day Moving Average3:,200-Day Moving Average3:,Avg Vol (3 month)3:,Avg Vol (10 day)3:,Shares Outstanding5:,Float:
ABX,13978272,13020207,110.0651300000,.9587629000,102.5210000000,,.0000000000,-13.7637810000,-.0627600000,-.1227600000,127000,.0010000000,-.9820000000,2172000,,-1757000,-.0120000000,540000,.0040000000,0,,.3000000000,.0970000000,-2666000,-665000,-.1545454300,.1200000000,.0700000000,.0938709700,.1013840600,103983,288257,150304000,93069236
ACB,30515974,38831348,314.1184000000,1.4583334000,399.7130000000,-38.6600000000,.0000000000,-294.8589000000,-.4169200000,-.8408500000,97148,.0000000000,3.8590000000,,-1004429,-29052604,-.0330000000,280531,.0000000000,8595908,41.6290000000,.2800000000,.0240000000,-1479459,8477415,3.3750000000,.0450000000,.0040000000,.0348064530,.0242681170,333204,586521,871884992,347594340
ACP,20071944,22521586,6382.1763000000,4.1428570000,7161.0770000000,-56.5300000000,.0000000000,-127.7888640000,-.0253800000,-.1514200000,3145,.0000000000,,,-398401,-734925,-.0010000000,53017,.0000000000,3082654,62.1480000000,.0910000000,.0070000000,-296510,-2725307,2.6249998000,.0400000000,.0080000000,.0277096780,.0175652170,44044,60000,692136000,39024227
ACS,9320540,10490725,167.7502600000,,188.8110000000,-11.9850000000,.0000000000,-19.8882300000,-.1656900000,,55562,.0000000000,3.3540000000,,-875330,-2018997,-.0110000000,1092953,.0060000000,7963673,,1.4320000000,-.0220000000,-736880,-1073468,3.0000000000,.0220000000,.0050000000,.0199032260,.0128695650,3396,0,466027008,2680613
ADN,592000768,418073088,6010.1600000000,39.2857130000,4244.3970000000,-115.2960000000,.0000000000,-40.9565500000,-.2395400100,-.3863800200,98500,.0000000000,,98500,-3626096,-3447274,-.0020000000,2998626,.0020000000,113875,1.0420000000,4.3470000000,.0070000000,-1081686,-2528044,5.1111110000,.3650000000,.0190000000,.2806451600,.1665398500,7374196,5719714,2152730112,1253520581
ADT,439657216,396981952,,33.9062500000,,,.0000000000,.0000000000,-.2616000000,-.4006000200,,,,,,,-.0300000000,,,,1.2710000000,16.7920000000,.0640000000,,,.4045308800,2.8600000000,.7800000000,2.2183871000,2.2106159000,252631,320702,385292992,102141441
ADV,41135960,46339868,,3.2857141000,,-47.5230000000,.0000000000,.0000000000,-.0486100000,-.0779600000,,,,,-975101,-978692,-.0010000000,1504430,.0010000000,0,,8.0440000000,.0070000000,-687703,-1312958,4.7499995000,.0490000000,.0020000000,.0204838720,.0230217390,18385963,16333146,2133059968,1790687275
ADY,13909560,24580218,14.2844110000,1.2000000000,25.2430000000,-32.3640000000,-1.5875000000,-.7902900000,-.0211600000,-.1255099900,973758,.0010000000,-.6620000000,,-759493,-1545840,-.0010000000,102897,.0000000000,10773499,93.3320000000,.1490000000,.0100000000,-651405,-2290791,1.0000000000,.0750000000,.0040000000,.0135161290,.0117318840,606573,847029,1159129984,659431730
AEV,10354236,9157699,290.1972000000,.7058823000,256.6620000000,-3.3160000000,.0000000000,-94.7511200000,-.0992099940,-.2827500000,35680,.0000000000,,,-2761477,-3038045,-.0080000000,1288337,.0010000000,91802,1.2180000000,3.4650000000,.0170000000,-3706296,8790139,.0000000000,.0270000000,.0050000000,.0121290320,.0160088560,1580305,1544658,862852992,546082291
AFR,11213298,9569017,257.2034300000,1.2857141000,219.4880000000,-23.9460000000,.0000000000,-66.5092300000,-.1739000000,-.3275500200,43597,.0000000000,-.0560000000,,-399603,-3372977,-.0050000000,1644274,.0030000000,0,,11.3310000000,.0140000000,-430649,809689,-.4857143200,.0380000000,.0110000000,.0185483860,.0206304340,360382,2014796,622961024,225742243
