StockCode,Market Cap (intraday)5:,Enterprise Value,Price/Sales (ttm):,Price/Book (mrq):,Enterprise Value/Revenue (ttm)3:,Enterprise Value/EBITDA (ttm)6:,Profit Margin (ttm):,Operating Margin (ttm):,Return on Assets (ttm):,Return on Equity (ttm):,Revenue (ttm):,Revenue Per Share (ttm):,Qtrly Revenue Growth (yoy):,Gross Profit (ttm):,EBITDA (ttm)6:,Net Income Avl to Common (ttm):,Diluted EPS (ttm):,Total Cash (mrq):,Total Cash Per Share (mrq):,Total Debt (mrq):,Total Debt/Equity (mrq):,Current Ratio (mrq):,Book Value Per Share (mrq):,Operating Cash Flow (ttm):,Levered Free Cash Flow (ttm):,52-Week Change3:,52-Week High (17/01/2017)3:,52-Week Low (08/12/2016)3:,50-Day Moving Average3:,200-Day Moving Average3:,Avg Vol (3 month)3:,Avg Vol (10 day)3:,Shares Outstanding5:,Float:
CRW,130836712,,,,,,.0000000000,.0000000000,,,,,,,,,,,,,,,,,,-.0514286160,2.2000000000,1.6500000000,1.7409375000,1.7845000000,348982,138135,78817296,
MGH,,,,,,,.0000000000,.0000000000,,,,,,,,,,,,,,,,,,-.0627306700,2.9000000000,2.3000000000,2.6477420000,2.6545947000,296592,112938,,
VBC,50007248,43013660,.4274270000,1.8115942000,.3680000000,6.8700000000,.0239000000,.0404500000,.0501800030,.1056400000,116996000,.5820000000,2.1630000000,36316000,6261000,2796000,.0130000000,15930000,.0790000000,8697000,31.4250000000,1.3800000000,.1380000000,11571000,9670070,,.2500000000,.2200000000,,,,,200028992,64502640
DDB,28678830,28678844,1.8850393000,24.7619040000,1.8850000000,22.1070000000,.0285800000,.0545000000,.0617500020,.9175800000,15213916,.6030000000,,3439875,1297249,434882,.0170000000,,,,,.7600000000,.0210000000,-632207,-5417955,.1555554900,.7350000000,.3200000000,.5250000000,.4732113800,62841,46691,55151600,5279113
AQZ,637093632,593607104,2.1334665000,2.2328460000,1.9880000000,7.4660000000,.0903200000,.1540000000,.0779500000,.1196300000,298619008,1.9400000000,.0570000000,93502000,79512000,26972000,.1750000000,98788000,.6230000000,62713000,22.2340000000,2.9750000000,1.7780000000,44045000,14368250,.5568628300,4.0800000000,.9700000000,3.8335483000,3.5356522000,226178,105716,160476992,85384576
ASB,924064064,693629504,.4429835000,1.2220638000,.3330000000,4.3870000000,.0426500000,.0578300000,.0559400000,.1290000000,2086001024,5.8560000000,.0470000000,239294000,158119008,88978000,.2470000000,396667008,1.1140000000,175256000,23.4070000000,1.9940000000,2.1030000000,164472000,122608752,-.3460559800,4.5400000000,2.2500000000,2.6218183000,3.0309286000,1503330,1297789,359558016,306855445
ASH,63349440,57725396,.1880692700,2.4581006000,.1710000000,6.5460000000,.0138500000,.0229699980,.0946600000,.1932700000,336840992,2.3400000000,.1010000000,15173000,8818000,4667000,.0320000000,8063000,.0560000000,2439000,9.4430000000,1.5660000000,.1790000000,14125000,12952125,.0000000000,.4750000000,.2000000000,.3982258000,.3533695600,67497,147705,143976000,26084115
AVA,134076352,123747304,2.9064262000,5.1388890000,2.6830000000,16.0750000000,.1071300060,.1378500000,.1320400100,.2164699900,46131000,.1970000000,.7220000000,22076000,7698000,4942000,.0200000000,7703000,.0330000000,713000,2.8050000000,2.7090000000,.1080000000,5956000,3923625,2.8275864000,.7850000000,.0800000000,.5624193500,.4560144800,1224252,1231402,241579008,123086230
AYS,224283616,260642176,.4572532000,2.4595470000,.5310000000,8.3980000000,.0018799999,.0148100000,.0151300000,.0066100000,490502016,1.6620000000,.0030000000,97479000,31038000,648000,.0030000000,45015000,.1550000000,85601000,95.5890000000,.7560000000,.3090000000,29594000,42189000,1.3750000000,.8100000000,.2400000000,.7505645000,.6976268000,2090862,6283157,295110016,271381377
AZJ,6862094336,10883978240,2.2391484000,1.6256591000,3.5520000000,7.4470000000,.2009700000,.3037299800,.0597500000,.1339400000,3064600064,1.5690000000,.0550000000,1509800000,1461600000,605100032,.3150000000,29300000,.0150000000,3829100032,87.8700000000,.4860000000,2.2760000000,1247399936,516137504,-.3122676600,5.6250000000,3.3800000000,3.9100000000,4.1993527000,7715861,6905408,1854620032,1851268154
