StockCode,Market Cap (intraday)5:,Enterprise Value,Price/Sales (ttm):,Price/Book (mrq):,Enterprise Value/Revenue (ttm)3:,Enterprise Value/EBITDA (ttm)6:,Profit Margin (ttm):,Operating Margin (ttm):,Return on Assets (ttm):,Return on Equity (ttm):,Revenue (ttm):,Revenue Per Share (ttm):,Qtrly Revenue Growth (yoy):,Gross Profit (ttm):,EBITDA (ttm)6:,Net Income Avl to Common (ttm):,Diluted EPS (ttm):,Total Cash (mrq):,Total Cash Per Share (mrq):,Total Debt (mrq):,Total Debt/Equity (mrq):,Current Ratio (mrq):,Book Value Per Share (mrq):,Operating Cash Flow (ttm):,Levered Free Cash Flow (ttm):,52-Week Change3:,52-Week High (17/01/2017)3:,52-Week Low (08/12/2016)3:,50-Day Moving Average3:,200-Day Moving Average3:,Avg Vol (3 month)3:,Avg Vol (10 day)3:,Shares Outstanding5:,Float:
BWR,201239184,319207264,8.4451380000,.9186441000,13.3960000000,22.8430000000,-.1814600000,.2428599900,.0102800000,-.0133200000,23829000,.1670000000,-.0660000000,17474000,13974000,-4324000,-.0300000000,11212000,.0790000000,87000000,33.3990000000,.8620000000,1.4750000000,8540000,14153000,.0149812700,1.4550000000,.9250000000,1.4201614000,1.4028261000,4260,2629,148516000,27477595
CAF,32463676,21382668,.2479316600,2.2058823000,.1630000000,-23.4460000000,-.0152699990,-.0100100000,-.0257299990,-.1260600000,130938000,.8860000000,.2100000000,8180000,-912000,-2000000,-.0140000000,12187000,.0840000000,988000,6.6530000000,1.3510000000,.1020000000,4095000,4969000,.7999999500,.2300000000,.0800000000,.2209677400,.1694565300,64670,112634,144283008,90590948
CAM,99649752,4778718,-15.1531930000,1.0278114000,-.7270000000,,.0000000000,1.3539300000,-.0476700030,-.0713399950,-6576155,-.0600000000,,-6576155,,-6394085,-.0590000000,118908080,1.0500000000,27437310,29.2820000000,63.8210000000,.8270000000,11832271,-7722330,-.1099476200,.9750000000,.5500000000,.8834286000,.8131338000,106294,103407,117235000,
CAQ,18662436,16685863,12.3626760000,.2954545600,11.0530000000,-8.6500000000,-1.9451100000,-1.3758000000,-.0193500000,-.0454400030,1509579,.0020000000,.1520000000,1303941,-1929008,-2936290,-.0040000000,1976580,.0030000000,0,,9.7740000000,.0880000000,-648674,-936427,1.8888891000,.0530000000,.0050000000,.0276774200,.0326485520,5878,0,717785984,247485532
CBA,148155088896,265181708288,6.8909345000,2.0505834000,12.3340000000,,.4480900000,.5371600000,.0074900000,.1053100000,21500000256,12.1610000000,-.1470000000,21500000000,,7458999808,5.2370000000,120742002688,68.2870000000,238260994048,,,40.7250000000,-30353999872,,-.0123004320,91.0500000000,53.4400000000,84.3178800000,74.3310700000,2816217,2787147,1774099968,1763776751
CCP,1910422400,1913824128,7.4553070000,3.2151353000,7.4690000000,,.0603100020,.0880400000,.0225200000,.0292200000,256250000,4.2240000000,-.3380000000,222699000,,15454000,.2550000000,48660000,.7230000000,52056000,8.7610000000,3.0150000000,8.8270000000,115646000,,-.1967167300,37.9900000000,6.0100000000,28.4524250000,21.7668570000,302773,138825,67315800,65174678
CD2,67883704,,,,,,.0000000000,.0000000000,,,,,,,,,,,,,,,,,,-.2951289400,1.8000000000,.8500000000,1.2068572000,1.1173240000,16867,11354,55190000,
CD3,86073944,,8.1886380000,.6008044500,,,.6965599700,.9073700000,.0421700000,.0524499980,10511387,.1460000000,,20998610,,7321850,.1020000000,28553738,.3960000000,0,,214.1810000000,1.9890000000,-505623,6122544,-.1402877000,1.3900000000,.7300000000,1.0697143000,.9404225300,18204,24747,72028400,
CDM,255888672,297579424,-24.1644940000,.8715596000,-28.1020000000,,.0000000000,1.4206200000,-.0246199980,-.0343200000,-10589449,-.0340000000,,-10589449,,-10878268,-.0350000000,19458444,.0640000000,55185768,18.3730000000,.5120000000,.9810000000,-37989688,-17171640,.1554054000,1.0500000000,.3200000000,.8680714400,.7921831000,263334,434514,299284992,
CDP,296100000,581902016,5.7320404000,.6683520000,11.2650000000,,-2.0850200000,.6306800000,.0254099980,-.2140400000,51657000,.7380000000,-.0390000000,32926000,,-107706000,-1.5390000000,4818000,.0690000000,290620000,65.5990000000,.7650000000,6.3290000000,16480000,-9712875,-.2890756000,6.0600000000,2.5600000000,4.5806450000,3.7436957000,38362,7345,70000000,23949100
