StockCode,Market Cap (intraday)5:,Enterprise Value,Price/Sales (ttm):,Price/Book (mrq):,Enterprise Value/Revenue (ttm)3:,Enterprise Value/EBITDA (ttm)6:,Profit Margin (ttm):,Operating Margin (ttm):,Return on Assets (ttm):,Return on Equity (ttm):,Revenue (ttm):,Revenue Per Share (ttm):,Qtrly Revenue Growth (yoy):,Gross Profit (ttm):,EBITDA (ttm)6:,Net Income Avl to Common (ttm):,Diluted EPS (ttm):,Total Cash (mrq):,Total Cash Per Share (mrq):,Total Debt (mrq):,Total Debt/Equity (mrq):,Current Ratio (mrq):,Book Value Per Share (mrq):,Operating Cash Flow (ttm):,Levered Free Cash Flow (ttm):,52-Week Change3:,52-Week High (17/01/2017)3:,52-Week Low (08/12/2016)3:,50-Day Moving Average3:,200-Day Moving Average3:,Avg Vol (3 month)3:,Avg Vol (10 day)3:,Shares Outstanding5:,Float:
1AL,26003200,,,,,,,,,,,,,18300930,,,,,,,,,,,,,0.86,0.2,0.2,0.56455225,0,0,,
NCK,834300032,986128000,3.178528,11.063373,3.757,14.657,0.1603,0.23923,0.14607,0.52399,262480000,3.24,-0.016,164663000,67282000,42076000,0.519,63037000,0.778,214864992,284.914,1.059,0.931,92178000,80812248,0.45070422,11.61,2.65,10.210313,8.825108,391584,222838,81000000,67004010
ABV,16303407,16314397,1.9527377,3.909091,1.954,27.465,0.020480001,0.04743,0.04239,0.056739997,8349000,0.024,0.131,3713000,594000,171000,0,516000,0.001,527000,13.198,3.051,0.011,222000,231125,0.4333334,0.13,0.015,0.035580646,0.033695653,185500,899312,379148992,151936285
ADH,613749504,728097792,1.578034,4.3682313,1.872,10.424,0.09071,0.16103001,0.13219,0.27256,388932992,2.32,0.159,222119000,69846000,35281000,0.207,25179000,0.149,139527008,99.257,0.823,0.831,97307000,77303248,0.66513765,4.3,0.44,3.610606,3.344,1196546,692217,169076992,137471497
AFL,31376220,29886576,4.4574428,3.8636363,4.246,45.443,0.06,0.05528,0.02262,0.05612,7039063,0.117,7.719,6509664,657666,422381,0.007,1554743,0.026,791845,9.996,1.252,0.132,1647204,1111450,2.3999999,0.59,0.09,0.48048386,0.3622826,128278,47413,61522000,26606147
AGI,269435200,303327136,1.8034967,0.7597341,2.03,-37.059,-0.29072002,-0.25811002,-0.0508,-0.11611,149396000,0.444,-0.638,90385000,-8185000,-43433000,-0.13,26543000,0.079,60435000,17.045,2.306,1.053,16721000,27822250,0.25984251,0.88,0.275,0.605,0.40913042,402263,790947,336793984,110070992
AHL,9309930,8682512,6.8334675,7,6.373,-4.636,-1.43732,-1.4117799,-0.50565,-1.30031,1362402,0.001,-0.393,878071,-1872990,-1958206,-0.002,837566,0.001,210158,12.674,2.245,0.001,-1272093,-1219429,-0.19999993,0.01,0.002,0.006985714,0.006200704,1306497,260797,1329990016,634271532
AHX,74256328,121323240,0.6275094,1.0621762,1.025,10.961,0.03525,0.065630004,0.03955,0.06611,118335000,1.048,0.116,23819000,11069000,4171000,0.036,2509000,0.022,51101000,74.586,1.274,0.579,7507000,8109750,0.30851066,0.755,0.34,0.62387097,0.6112681,66821,25559,120742000,55858189
AIR,12742998,15859969,2.946358,7.204301,3.667,-6.107,-1.6874001,-0.60508996,-0.20555,-1.34575,4325000,0.227,-0.103,-540000,-2597000,-7298000,-0.384,74000,0.004,3191000,179.876,5.552,0.093,-2357000,-1649500,0.0806452,0.95,0.6,0.6819355,0.7472464,335,1500,19019400,1508615
ALG,287823616,857137600,0.72260296,1.1472275,2.152,78.752,-0.34300998,-0.12511,-0.034930002,-0.4048,398315008,0.83,-0.464,294712000,10884000,-136628992,-0.285,161616992,0.337,691740992,238.574,1.728,0.523,52718000,-62617228,-0.5683453,1.475,0.105,0.66636366,0.5935357,2426689,1025412,479705984,388873682
