Date,Price,OpenClose_spread,Highlow_spread,5_Days_MA,10_Days_MA,15_Days_MA,30_Days_MA,5_Days_VAR,15_Days_VAR,30_Days_VAR
2020-02-27,6632.8,-152.30000000000018,170.60000000000036,6841.0,6965.6,6978.513333333334,,36072.924999998715,22212.358380952443,
2020-02-28,6428.2,-53.899999999999636,97.89999999999964,6707.360000000001,6900.139999999999,6942.206666666667,,40042.03299999797,42429.466380952545,
2020-03-02,6372.9,-204.60000000000036,222.80000000000018,6591.92,6829.81,6902.72,,36619.23699999739,63871.85457142885,
2020-03-04,6295.5,-55.30000000000018,193.69999999999982,6483.22,6751.67,6855.586666666667,,28553.696999996926,87117.34123809564,
2020-03-05,6366.0,-112.19999999999982,126.5,6419.08,6678.210000000001,6811.173333333333,,16495.376999996737,99896.9606666672,
2020-03-06,6194.5,70.5,116.19999999999982,6331.42,6586.210000000001,6754.206666666666,,8080.016999996503,119543.13638095315,
2020-03-09,5738.7,-171.5,171.5,6193.5199999999995,6450.4400000000005,6664.6,,69797.16199999614,176888.84285714405,
2020-03-10,5922.2,-455.8000000000002,455.8000000000002,6103.379999999999,6347.65,6587.666666666667,,69999.97699999587,197814.7095238111,
2020-03-11,5708.4,183.5,409.0,5985.96,6234.59,6496.433333333333,,82540.43299999539,227022.4095238116,
2020-03-12,5281.6,-213.80000000000018,246.90000000000055,5769.08,6094.08,6375.166666666667,,111667.41699999436,290609.45238095487,
2020-03-13,5540.8,-426.7999999999993,432.0,5638.339999999999,5984.88,6270.253333333332,,58083.62799999373,289498.8698095268,
2020-03-16,5007.6,259.1999999999998,688.9000000000005,5492.120000000001,5842.82,6131.0,,128298.47199999317,333849.06714286056,
2020-03-17,5319.3,-533.1999999999998,533.1999999999998,5371.54,5737.460000000001,6022.28,,71348.53799999288,320322.7460000037,
2020-03-18,4966.1,311.6999999999998,329.59999999999945,5223.08,5604.52,5897.419999999999,6458.1466666666665,56524.806999992565,335653.77028571843,490238.22326436755
2020-03-19,4809.1,-353.1999999999998,419.3000000000002,5128.58,5448.83,5772.246666666667,6387.6466666666665,87350.70699999227,358971.7740952427,571380.8060229882
2020-03-20,4827.8,-157.0,381.5,4985.9800000000005,5312.160000000001,5651.913333333333,6315.213333333333,42068.076999991834,354273.6169523861,636890.0122298847
2020-03-23,4592.0,18.699999999999818,238.69999999999982,4902.860000000001,5197.49,5529.5,6235.853333333333,72120.11299999153,375417.8971428629,717859.1046436778
2020-03-24,4764.4,-235.80000000000018,400.90000000000055,4791.88,5081.710000000001,5422.266666666666,6162.493333333334,18161.63699999111,354101.4423809586,768610.0585747123
2020-03-25,5050.1,172.39999999999964,175.0,4808.68,5015.88,5339.240000000001,6097.413333333333,26890.076999991183,302142.1682857207,782566.8011954017
2020-03-26,5152.5,285.7000000000007,287.40000000000055,4877.360000000001,5002.97,5258.34,6034.756666666666,50546.90299999143,222318.13828572095,779161.9515057465
2020-03-27,4853.3,102.39999999999964,165.0,4882.46,4934.219999999999,5168.926666666667,5961.566666666667,50045.06299999144,162871.04495238786,786280.8147126428
2020-03-30,5209.7,-299.1999999999998,415.5,5006.0,4954.43,5133.660000000001,5899.13,36647.14999999195,138468.52685714987,758390.7863103438
2020-03-31,5087.5,356.39999999999964,367.39999999999964,5070.62,4931.25,5078.013333333333,5832.839999999999,18495.391999992185,90889.03695238808,728784.5293793092
2020-04-01,5269.3,-122.19999999999982,388.89999999999964,5114.460000000001,4961.57,5048.740000000001,5772.586666666667,25856.127999992426,64199.70257143579,682611.361195401
2020-04-02,5163.3,181.80000000000018,198.30000000000018,5116.620000000001,4996.99,5040.853333333333,5708.009999999999,26084.871999992443,61197.361238102465,630283.997482757
2020-04-03,5085.6,-106.0,199.80000000000018,5163.08,5022.7699999999995,5010.506666666667,5640.38,6292.9119999927025,42500.3463809596,570696.6037241361
2020-04-06,5304.7,-77.69999999999982,212.39999999999964,5182.08,5094.04,5030.3133333333335,5580.656666666667,10312.361999992787,48261.539809531045,497789.0356436763
2020-04-07,5252.0,219.09999999999945,234.19999999999982,5214.9800000000005,5142.8,5025.826666666666,5524.053333333333,7945.206999992947,45785.092095245316,433531.17498850374
2020-04-08,5192.5,-52.69999999999982,251.60000000000036,5199.62,5157.04,5040.92,5469.17,7038.966999992849,47270.491714292955,374582.12217241165
2020-04-09,5376.6,-59.5,195.19999999999982,5242.280000000001,5179.45,5078.753333333333,5425.5,12264.816999993202,49946.929809531124,321788.2544827563
2020-04-13,5376.6,184.10000000000036,184.10000000000036,5300.4800000000005,5231.780000000001,5115.34,5383.626666666666,6404.076999993693,50350.95114286448,269795.72478160675
2020-04-14,5452.1,0.0,0.0,5329.960000000001,5256.0199999999995,5172.679999999999,5351.09,11060.44299999398,35365.551714293026,231236.96989654913
2020-04-15,5426.6,75.5,118.5,5364.88,5289.93,5216.826666666667,5319.546666666666,10351.566999994315,25976.186380959647,194400.99154022714
2020-04-16,5376.8,-25.5,120.40000000000055,5401.740000000001,5300.68,5238.6066666666675,5288.923333333333,1260.0479999946333,25310.34066667394,160699.59081608907
2020-04-17,5449.3,-49.80000000000018,122.10000000000036,5416.280000000001,5329.280000000001,5258.3933333333325,5258.366666666667,1403.2669999947539,27532.10066667395,120617.35747126138
2020-04-20,5309.9,72.5,145.09999999999945,5402.9400000000005,5351.710000000001,5288.833333333333,5228.88,3616.3729999946763,15007.345238102536,89590.67337930725
2020-04-21,5184.9,-139.40000000000055,145.10000000000036,5349.5,5339.73,5287.179999999999,5210.42,11327.764999994251,15328.706000007296,80342.2133793072
2020-04-22,5186.1,-125.0,131.89999999999964,5301.4,5333.14,5293.753333333333,5185.883333333333,13624.539999993736,13164.201238102536,62269.7738505715
2020-04-23,5176.1,1.2000000000007276,151.10000000000036,5261.26,5331.5,5287.539999999999,5168.14,14114.247999993291,14068.862571435851,52532.783172410556
2020-04-24,5206.6,-10.0,100.40000000000055,5212.719999999999,5314.5,5290.426666666666,5165.64,3076.251999992743,13425.342095245383,52133.42110344504
2020-04-27,5269.4,30.5,56.5,5204.620000000001,5303.780000000001,5302.679999999999,5156.593333333334,1436.406999992671,10299.34171429303,47566.72616091628
2020-04-28,5252.4,62.79999999999927,109.89999999999964,5218.12,5283.81,5299.193333333334,5164.753333333333,1682.1069999928218,10466.602095245411,47048.87567815767
2020-04-29,5335.6,-17.0,108.89999999999964,5248.02,5274.71,5304.766666666666,5165.296666666667,3758.6619999931686,10368.90952381685,47231.46378160595
2020-04-30,5452.7,83.20000000000073,83.20000000000073,5303.339999999999,5282.3,5322.113333333334,5181.516666666666,9113.637999993767,10709.399809531182,48439.35040229563
2020-05-01,5169.5,117.09999999999945,146.79999999999927,5295.92,5254.32,5308.306666666667,5193.53,11183.446999993701,11956.733523816856,43512.47527585888
2020-05-04,5242.1,-283.1999999999998,283.1999999999998,5290.46,5247.539999999999,5299.339999999999,5207.34,11694.502999993625,11850.542571435868,38784.1693793072
2020-05-05,5325.9,72.60000000000036,164.5,5305.160000000001,5261.64,5290.926666666667,5231.803333333333,11376.247999993766,10158.260666673921,25593.118264364708
