Date,Price,OpenClose_spread,Highlow_spread,5_Days_MA,10_Days_MA,15_Days_MA,30_Days_MA,5_Days_VAR,15_Days_VAR,30_Days_VAR
2020-02-27,2848.3,-80.60000000000036,84.60000000000036,2947.76,3003.49,3011.7200000000003,,8207.128000000044,5041.717428571433,
2020-02-28,2728.2,-23.399999999999636,46.80000000000018,2879.66,2970.6,2992.98,,10805.143000000131,10406.71171428573,
2020-03-02,2707.4,-120.10000000000036,126.90000000000009,2821.5800000000004,2936.1600000000003,2973.746666666667,,10517.647000000165,15835.182666666686,
2020-03-04,2694.9,-20.799999999999727,101.39999999999964,2770.1,2902.41,2951.8400000000006,,6944.9350000002,20698.14971428574,
2020-03-05,2720.9,-45.69999999999982,50.79999999999973,2739.94,2867.62,2929.9599999999996,,3832.4230000002453,23319.061142857176,
2020-03-06,2641.5,26.0,57.90000000000009,2698.58,2823.17,2901.8533333333335,,1181.2470000002736,27149.999809523833,
2020-03-09,2442.4,-79.40000000000009,79.40000000000009,2641.42,2760.54,2860.8733333333334,,13284.877000000339,38707.530666666666,
2020-03-10,2505.9,-199.0999999999999,199.0999999999999,2601.1200000000003,2711.35,2824.48,,14757.842000000377,43685.098857142824,
2020-03-11,2418.7,63.5,156.9000000000001,2545.88,2657.9900000000002,2783.5666666666666,,17064.11200000041,50564.96809523802,
2020-03-12,2242.4,-87.20000000000027,112.20000000000027,2450.18,2595.0600000000004,2728.4733333333334,,20983.027000000387,62420.26638095224,
2020-03-13,2283.2,-176.29999999999973,192.29999999999973,2378.52,2538.55,2674.9533333333334,,12383.82700000038,64382.92123809507,
2020-03-16,2074.5,40.79999999999973,211.29999999999973,2304.94,2473.18,2608.6733333333336,,27703.183000000394,74355.22066666647,
2020-03-17,2181.0,-208.69999999999982,208.69999999999982,2239.96,2420.54,2554.2200000000003,,16169.233000000375,73427.18028571407,
2020-03-18,2069.5,106.5,116.30000000000018,2170.12,2358.0,2495.366666666667,2763.5933333333332,9349.357000000398,75179.32809523786,111353.6144367816
2020-03-19,1955.1,-111.5,127.90000000000009,2112.66,2281.42,2434.26,2728.7066666666665,15474.593000000377,81911.53685714267,130679.62478160919
2020-03-20,1999.7,-114.40000000000009,130.70000000000005,2055.96,2217.2400000000002,2377.6866666666665,2694.7033333333334,7374.998000000357,79726.18980952361,144887.50722988506
2020-03-23,1825.8,44.600000000000136,80.60000000000014,2006.2199999999998,2155.58,2317.5266666666666,2655.253333333333,17439.887000000304,88828.39780952358,165898.98533333334
2020-03-24,1920.6,-173.9000000000001,216.20000000000005,1954.1399999999999,2097.05,2265.0733333333333,2619.4100000000003,8245.163000000246,86276.91780952353,179179.43472413794
2020-03-25,1999.5,94.79999999999995,94.79999999999995,1940.1399999999999,2055.13,2218.7133333333336,2585.2766666666666,5187.563000000226,75815.45266666634,185594.8535747127
2020-03-26,2069.8,78.90000000000009,129.0999999999999,1963.08,2037.8699999999997,2175.3066666666664,2552.633333333333,8676.737000000272,57366.999238094875,186236.80160919548
2020-03-27,2013.0,70.30000000000018,97.5,1965.7400000000002,2010.85,2133.4066666666668,2517.63,8955.638000000277,41843.647809523434,186025.4538965518
2020-03-30,2093.4,-56.80000000000018,129.49999999999977,2019.2599999999998,2012.7400000000002,2110.14,2485.5066666666667,4553.618000000364,34558.189714285334,181128.41788505757
2020-03-31,2105.1,80.40000000000009,112.30000000000018,2056.16,2005.15,2083.42,2453.95,2260.283000000414,22607.478857142498,174030.01775862073
2020-04-01,2165.8,11.699999999999818,97.20000000000027,2089.42,2014.7800000000002,2066.56,2425.0633333333335,3080.1420000004628,14758.185428571098,164491.8396436782
2020-04-02,2136.8,60.70000000000027,60.70000000000027,2102.82,2032.95,2059.52,2393.9966666666664,3320.6720000004825,12848.937428571104,152069.24378160917
2020-04-03,2095.0,-29.0,73.0,2119.2200000000003,2042.48,2046.9733333333336,2360.963333333333,982.8520000004949,9196.423523809217,137510.42860919537
2020-04-06,2167.9,-41.80000000000018,105.90000000000009,2134.1200000000003,2076.69,2053.2,2330.936666666667,1131.1070000005047,10145.278571428256,120590.9196436781
2020-04-07,2189.6,72.90000000000009,76.40000000000009,2151.02,2103.59,2053.7733333333335,2303.9966666666664,1333.0620000005026,10307.220666666351,105194.24516091947
2020-04-08,2184.1,21.699999999999818,81.69999999999982,2154.68,2122.05,2061.4133333333334,2278.39,1535.2770000005019,11440.232666666341,90518.62299999992
2020-04-09,2255.1,-5.5,77.30000000000018,2178.34,2140.5800000000004,2081.4133333333334,2257.836666666667,3276.653000000517,12883.946952380595,77961.8120574712
2020-04-13,2255.1,71.0,71.0,2210.3599999999997,2164.79,2098.44,2238.063333333333,1731.6880000005358,14251.188285713912,65535.29481609187
2020-04-14,2326.3,0.0,0.0,2242.04,2188.08,2131.8066666666664,2224.6666666666665,3386.968000000581,11457.444952380556,57334.17885057463
2020-04-15,2331.2,71.20000000000027,77.60000000000036,2270.3599999999997,2210.69,2159.18,2212.1266666666666,3684.328000000597,10308.155999999584,49527.29374712634
2020-04-16,2307.9,4.899999999999636,48.40000000000009,2295.12,2224.9,2179.7400000000002,2199.226666666667,1410.1220000006094,9613.815428571006,41634.53995402289
2020-04-17,2350.3,-23.299999999999727,45.79999999999973,2314.16,2246.25,2198.44,2186.8733333333334,1317.7780000006142,10453.71257142814,32879.4344367815
2020-04-20,2301.9,42.40000000000009,73.29999999999973,2323.5200000000004,2266.94,2217.7,2175.5533333333337,373.8220000006152,8364.552857142407,26076.03636781599
2020-04-21,2219.3,-48.40000000000009,50.69999999999982,2302.12,2272.08,2226.0933333333332,2168.116666666667,2514.8920000006,7185.649238094785,23629.398678160815
2020-04-22,2214.3,-82.59999999999991,86.30000000000018,2278.7400000000002,2274.55,2233.373333333334,2158.3966666666665,3548.288000000589,6093.129238094778,19670.81136781598
2020-04-23,2225.4,-5.0,57.09999999999991,2262.2400000000002,2278.6800000000003,2237.3466666666664,2151.9533333333334,3706.688000000578,5754.601238094778,17446.194988505635
2020-04-24,2236.9,11.099999999999909,50.40000000000009,2239.5600000000004,2276.8599999999997,2244.02,2151.77,1285.59800000055,4984.784571428112,17412.895965517127
2020-04-27,2296.9,11.5,22.59999999999991,2238.5600000000004,2281.04,2257.48,2152.2266666666665,1134.7480000005485,3404.1959999995424,17543.330988505637
2020-04-28,2306.4,60.0,67.19999999999982,2255.9800000000005,2279.05,2266.713333333333,2159.9566666666665,1813.257000000586,2910.608380951926,18092.827367815982
2020-04-29,2329.3,9.5,34.19999999999982,2278.9800000000005,2278.86,2276.0266666666666,2164.9,2061.6570000006504,2672.719238094785,19041.14620689645
