Date,Price,OpenClose_spread,Highlow_spread,5_Days_MA,10_Days_MA,15_Days_MA,30_Days_MA,5_Days_VAR,15_Days_VAR,30_Days_VAR
2020-03-19,4395.2,-255.89999999999964,302.39999999999964,4711.86,5255.1900000000005,5673.7,6399.9366666666665,144144.69800000457,669300.0742857149,878258.9410229886
2020-03-20,4515.6,-63.80000000000018,204.0,4544.9800000000005,5080.23,5529.94,6311.75,17157.36200000515,671770.692571429,972669.1536206899
2020-03-23,4321.3,120.40000000000055,214.30000000000018,4481.2,4925.6,5385.526666666667,6217.386666666667,22313.975000005394,688275.0735238098,1075717.4929195405
2020-03-24,4517.7,-194.30000000000018,460.00000000000045,4441.76,4784.929999999999,5256.093333333333,6129.833333333333,7048.723000005597,641778.9220952381,1137779.5222988508
2020-03-25,4892.5,196.39999999999964,217.89999999999964,4528.460000000001,4705.42,5151.506666666666,6052.64,48369.94300000517,535750.4535238093,1144301.5604137934
2020-03-26,5066.8,374.8000000000002,374.8000000000002,4662.780000000001,4687.32,5057.72,5982.59,93830.5470000046,401986.55028571375,1129817.877482759
2020-03-27,4937.9,174.30000000000018,212.60000000000036,4747.24,4646.11,4969.233333333334,5907.593333333333,98420.94800000428,290479.44523809466,1111545.8447816095
2020-03-30,5109.8,-128.90000000000055,271.6999999999998,4904.9400000000005,4693.07,4918.713333333333,5837.746666666668,54840.553000003696,231508.89266666592,1070384.9632643682
2020-03-31,4984.3,171.90000000000055,305.8000000000002,4998.26,4720.01,4856.04,5764.493333333333,8040.573000003321,155364.37399999917,1027648.4634022991
2020-04-01,5190.1,-125.5,398.8000000000002,5057.780000000001,4793.12,4822.873333333334,5699.6466666666665,10016.63700000315,112764.6335238086,969859.3501609198
2020-04-02,5074.8,205.80000000000018,259.3000000000002,5059.38,4861.08,4811.339999999999,5627.943333333333,10065.517000003148,104258.14114285618,897678.0770229885
2020-04-03,4840.4,-115.30000000000018,192.60000000000036,5039.879999999999,4893.56,4777.366666666667,5547.69,17888.917000003225,82356.5038095228,821899.5588620688
2020-04-06,4951.8,-234.40000000000055,270.3000000000002,5008.280000000001,4956.61,4798.14,5471.783333333334,17358.037000003307,82723.5982857133,730707.3835057467
2020-04-07,4949.9,111.40000000000055,182.40000000000055,5001.4,4999.83,4813.806666666667,5403.179999999999,18007.16500000334,83610.77923809424,653852.4885517237
2020-04-08,4948.1,-1.9000000000005457,212.89999999999964,4953.0,5005.39,4846.413333333334,5338.036666666667,6887.2650000034955,74767.85123809427,579098.2672298845
2020-04-09,5202.7,-1.7999999999992724,242.69999999999982,4978.58,5018.9800000000005,4900.246666666667,5286.973333333332,17948.057000003355,66187.58695238,509777.67926436715
2020-04-13,5202.7,254.59999999999945,256.1999999999998,5051.04,5045.46,4946.053333333333,5237.996666666667,19169.00800000302,59905.52980952293,441392.91067816014
2020-04-14,5343.2,0.0,0.0,5129.320000000001,5068.8,5014.179999999999,5199.8533333333335,30386.532000002684,38319.108857141975,386432.9708505739
2020-04-15,5360.1,140.5,199.19999999999982,5211.36,5106.38,5070.34,5163.216666666666,27240.29800000236,25880.47114285619,331241.8538505739
2020-04-16,5284.7,16.900000000000546,105.30000000000018,5278.679999999999,5115.84,5096.486666666667,5123.996666666667,5593.5520000021515,26171.07266666565,272055.3575747118
2020-04-17,5524.7,-75.40000000000055,125.60000000000036,5343.08,5160.83,5127.013333333333,5092.366666666667,14097.57200000198,38207.30123809414,213749.1609195393
2020-04-20,5366.6,240.0,294.90000000000055,5375.86,5213.45,5155.593333333334,5062.413333333333,7966.073000001892,38877.70638095124,167981.91360919445
2020-04-21,5163.5,-158.09999999999945,163.69999999999982,5339.92,5234.620000000001,5159.173333333334,5038.943333333333,17358.99200000191,38718.652095236954,145408.38667815988
2020-04-22,5168.5,-203.10000000000036,225.0,5301.6,5256.4800000000005,5171.453333333334,5013.746666666667,22767.860000001918,36378.96123809408,118294.77498850465
2020-04-23,5166.3,5.0,159.5,5277.92,5278.3,5169.866666666667,4996.37,26572.052000001953,36353.32523809409,103127.04217241264
2020-04-24,5131.1,-2.199999999999818,111.60000000000036,5199.2,5271.139999999999,5173.62,4992.4800000000005,8989.940000002154,35800.03028571312,101557.42717241263
2020-04-27,5316.5,-35.19999999999982,84.80000000000018,5189.18,5282.5199999999995,5205.36,4991.363333333334,5298.57200000215,28247.72399999869,100768.84102298736
2020-04-28,5308.1,185.39999999999964,188.39999999999964,5218.1,5279.01,5229.113333333333,5013.626666666666,7623.740000002145,23804.832666665305,99463.21167815985
2020-04-29,5404.0,-8.399999999999636,162.90000000000055,5265.2,5283.4,5259.386666666667,5036.596666666666,12875.390000002148,19438.98552380808,101095.11136781507
2020-04-30,5617.5,95.89999999999964,110.5,5355.44,5316.68,5304.013333333333,5075.213333333333,31279.83800000226,19544.176952379446,99684.53774712552
2020-05-01,5322.1,213.5,249.69999999999982,5393.64,5296.42,5311.973333333333,5106.11,17151.56800000232,18766.484952379433,84853.39196551638
2020-05-04,5401.5,-295.39999999999964,295.39999999999964,5410.64,5299.91,5325.2266666666665,5135.639999999999,15318.118000002345,18297.884952379394,74935.89420689571
2020-05-05,5467.0,79.39999999999964,203.09999999999945,5442.42,5330.26,5333.4800000000005,5173.83,12221.157000002397,19637.518857141276,54346.08493103365
2020-05-06,5412.8,65.5,126.19999999999982,5444.179999999999,5354.6900000000005,5336.993333333333,5203.666666666667,12067.597000002386,20023.082095236507,40549.30160919458
